case_id,channel,observation_index,virtual_time,diameter,mec_radius,method
q3_main,01,1,5.000,1500.364,750.244,bounded-bearing MEC
q3_main,01,2,877.719,750.244,375.122,bounded-bearing MEC
q3_main,01,3,1041.744,149.338,74.669,bounded-bearing MEC
q3_main,01,4,5709.758,22.336,11.168,bounded-bearing MEC
q3_main,04,1,895.719,1063.834,531.917,bounded-bearing MEC
q3_main,04,2,1162.044,529.877,264.939,bounded-bearing MEC
q3_main,04,3,1298.032,264.563,132.282,bounded-bearing MEC
q3_main,04,4,1407.488,132.282,66.141,bounded-bearing MEC
q3_main,04,5,1503.716,10.304,5.152,bounded-bearing MEC
q3_main,06,1,2060.977,1179.120,589.560,bounded-bearing MEC
q3_main,06,2,3090.238,586.248,293.124,bounded-bearing MEC
q3_main,06,3,3279.864,293.124,146.562,bounded-bearing MEC
q3_main,06,4,3374.176,144.494,72.247,bounded-bearing MEC
q3_main,06,5,3453.625,72.247,36.124,bounded-bearing MEC
q3_main,06,6,3525.850,11.103,5.551,bounded-bearing MEC
q3_main,07,1,41.000,1500.452,750.226,bounded-bearing MEC
q3_main,07,2,2167.762,750.033,375.016,bounded-bearing MEC
q3_main,07,3,2314.766,375.016,187.508,bounded-bearing MEC
q3_main,07,4,3913.902,187.508,93.754,bounded-bearing MEC
q3_main,07,5,3997.653,55.019,27.509,bounded-bearing MEC
q3_main,07,6,6653.379,26.201,13.100,bounded-bearing MEC
q3_main,12,1,71.000,1500.320,750.236,bounded-bearing MEC
q3_main,12,2,280.047,750.236,375.118,bounded-bearing MEC
q3_main,12,3,4651.445,375.086,187.543,bounded-bearing MEC
q3_main,12,4,4753.953,150.148,75.074,bounded-bearing MEC
q3_main,12,5,4833.968,38.118,19.059,bounded-bearing MEC
q3_main,13,1,77.000,1500.277,750.231,bounded-bearing MEC
q3_main,13,2,4230.921,648.346,324.173,bounded-bearing MEC
q3_main,13,3,4360.756,29.437,14.718,bounded-bearing MEC
q3_main,14,1,83.000,1500.452,750.264,bounded-bearing MEC
q3_main,14,2,2036.977,750.264,375.132,bounded-bearing MEC
q3_main,14,3,3763.117,750.264,375.132,bounded-bearing MEC
q3_main,18,1,2233.762,1076.842,538.421,bounded-bearing MEC
q3_main,18,2,2430.038,535.769,267.885,bounded-bearing MEC
q3_main,18,3,2548.615,266.345,133.173,bounded-bearing MEC
q3_main,18,4,2640.250,25.266,12.633,bounded-bearing MEC
q3_main,19,1,113.000,1500.433,750.261,bounded-bearing MEC
q3_main,19,2,477.992,750.261,375.130,bounded-bearing MEC
q3_main,19,3,642.018,375.130,187.565,bounded-bearing MEC
q3_main,19,4,5221.177,187.565,93.783,bounded-bearing MEC
q3_main,19,5,5304.933,66.554,33.277,bounded-bearing MEC
q3_main,19,6,5376.589,33.277,16.638,bounded-bearing MEC
q3_main,20,1,2108.977,1177.605,588.803,bounded-bearing MEC
q3_main,20,2,3024.721,583.951,291.976,bounded-bearing MEC
q3_main,20,3,3213.499,155.386,77.693,bounded-bearing MEC
q3_main,20,4,6244.998,76.170,38.085,bounded-bearing MEC
q3_main,20,5,6317.615,38.085,19.043,bounded-bearing MEC
q4_main,02,1,19157.815,1500.416,750.256,bounded-bearing MEC
q4_main,02,2,19270.836,1200.098,600.049,bounded-bearing MEC
q4_main,02,3,19622.140,599.994,299.997,bounded-bearing MEC
q4_main,04,1,10323.686,1367.478,683.739,bounded-bearing MEC
q4_main,04,2,12496.603,372.549,186.274,bounded-bearing MEC
q4_main,04,3,21619.324,186.274,93.137,bounded-bearing MEC
q4_main,04,4,21696.951,77.090,38.545,bounded-bearing MEC
q4_main,04,5,21763.660,23.408,11.704,bounded-bearing MEC
q4_main,05,1,220.019,1500.452,750.248,bounded-bearing MEC
q4_main,05,2,364.039,1200.058,600.029,bounded-bearing MEC
q4_main,05,3,12713.319,600.029,300.017,bounded-bearing MEC
q4_main,05,4,18326.920,300.017,150.014,bounded-bearing MEC
q4_main,05,5,18501.923,194.995,97.498,bounded-bearing MEC
q4_main,06,1,4493.379,1453.065,726.532,bounded-bearing MEC
