question,variant,n_cases,component,mean_s,share_of_ledger
q3,mainline,24,T_move,4500.3,0.5763
q3,mainline,24,T_measure,2752.5,0.3525
q3,mainline,24,T_switch,499.3,0.0639
q3,mainline,24,T_clear,56.7,0.0073
q3,mainline,24,"residual_certificate_time_s(non-ledger,annot)",1618.4,
q3,a1_fixed_geometry,6,T_move,4385.5,0.6651
q3,a1_fixed_geometry,6,T_measure,1818.3,0.2758
q3,a1_fixed_geometry,6,T_switch,329.7,0.0500
q3,a1_fixed_geometry,6,T_clear,60.2,0.0091
q3,a1_fixed_geometry,6,"residual_certificate_time_s(non-ledger,annot)",1588.8,
q3,a2_no_reuse,6,T_move,4500.3,0.5763
q3,a2_no_reuse,6,T_measure,2752.5,0.3525
q3,a2_no_reuse,6,T_switch,499.3,0.0639
q3,a2_no_reuse,6,T_clear,56.7,0.0073
q3,a2_no_reuse,6,"residual_certificate_time_s(non-ledger,annot)",1618.4,
q3,a3_sweep_all,6,T_move,3604.2,0.6061
q3,a3_sweep_all,6,T_measure,1926.7,0.3240
q3,a3_sweep_all,6,T_switch,357.8,0.0602
q3,a3_sweep_all,6,T_clear,57.7,0.0097
q3,a3_sweep_all,6,"residual_certificate_time_s(non-ledger,annot)",1615.7,
q3,a4_nearest_cert,6,T_move,4500.3,0.5763
q3,a4_nearest_cert,6,T_measure,2752.5,0.3525
q3,a4_nearest_cert,6,T_switch,499.3,0.0639
q3,a4_nearest_cert,6,T_clear,56.7,0.0073
q3,a4_nearest_cert,6,"residual_certificate_time_s(non-ledger,annot)",1618.4,
q4,mainline,24,T_move,8928.9,0.4554
q4,mainline,24,T_measure,8770.0,0.4473
q4,mainline,24,T_switch,1600.0,0.0816
q4,mainline,24,T_clear,309.5,0.0158
q4,mainline,24,"residual_certificate_time_s(non-ledger,annot)",7751.8,
q4,a1_fixed_geometry,6,T_move,12162.8,0.7486
q4,a1_fixed_geometry,6,T_measure,2981.7,0.1835
q4,a1_fixed_geometry,6,T_switch,546.0,0.0336
q4,a1_fixed_geometry,6,T_clear,558.0,0.0343
q4,a1_fixed_geometry,6,"residual_certificate_time_s(non-ledger,annot)",7791.4,
q4,a2_no_reuse,6,T_move,9502.6,0.4899
q4,a2_no_reuse,6,T_measure,8185.0,0.4220
q4,a2_no_reuse,6,T_switch,1489.8,0.0768
q4,a2_no_reuse,6,T_clear,218.0,0.0112
q4,a2_no_reuse,6,"residual_certificate_time_s(non-ledger,annot)",7761.8,
q4,a3_sweep_all,6,T_move,8324.0,0.4905
q4,a3_sweep_all,6,T_measure,7140.0,0.4207
q4,a3_sweep_all,6,T_switch,1314.5,0.0775
q4,a3_sweep_all,6,T_clear,192.0,0.0113
q4,a3_sweep_all,6,"residual_certificate_time_s(non-ledger,annot)",7856.9,
q4,a4_nearest_cert,6,T_move,8928.9,0.4554
q4,a4_nearest_cert,6,T_measure,8770.0,0.4473
q4,a4_nearest_cert,6,T_switch,1600.0,0.0816
q4,a4_nearest_cert,6,T_clear,309.5,0.0158
q4,a4_nearest_cert,6,"residual_certificate_time_s(non-ledger,annot)",7751.8,
