question,variant,virtual_time,resolved_fraction,mean_unresolved_coverage_est
q3,mainline,119.000,0.0000,0.1857
q3,mainline,358.047,0.0000,0.3143
q3,mainline,555.992,0.0000,0.3571
q3,mainline,720.018,0.0000,0.3714
q3,mainline,955.719,0.0000,0.4112
q3,mainline,1113.744,0.0000,0.4378
q3,mainline,1234.044,0.0000,0.4510
q3,mainline,1370.032,0.0000,0.4510
q3,mainline,1479.488,0.0000,0.4510
q3,mainline,1575.716,0.0000,0.4510
q3,mainline,1580.716,0.0500,0.4748
q3,mainline,2108.977,0.0500,0.4844
q3,mainline,2233.762,0.0500,0.4619
q3,mainline,2374.766,0.0500,0.4619
q3,mainline,2484.038,0.0500,0.4619
q3,mainline,2602.615,0.0500,0.4619
q3,mainline,2694.250,0.0500,0.4619
q3,mainline,2759.303,0.1000,0.4875
q3,mainline,3078.721,0.1000,0.5215
q3,mainline,3144.238,0.1000,0.5215
q3,mainline,3267.499,0.1000,0.5215
q3,mainline,3333.864,0.1000,0.5215
q3,mainline,3428.176,0.1000,0.5215
q3,mainline,3507.625,0.1000,0.5215
q3,mainline,3579.850,0.1000,0.5215
q3,mainline,3584.850,0.1500,0.5522
q3,mainline,3817.117,0.1500,0.5522
q3,mainline,3822.117,0.2000,0.5867
q3,mainline,3967.902,0.2000,0.5867
q3,mainline,4051.653,0.2000,0.5867
q3,mainline,4284.921,0.2000,0.5867
q3,mainline,4414.756,0.2000,0.5867
q3,mainline,4480.643,0.2500,0.6259
q3,mainline,4705.445,0.2500,0.6259
q3,mainline,4807.953,0.2500,0.6259
q3,mainline,4887.968,0.2500,0.6259
q3,mainline,4955.592,0.3000,0.6706
q3,mainline,5275.177,0.3000,0.6706
q3,mainline,5358.933,0.3000,0.6706
q3,mainline,5430.589,0.3000,0.6706
q3,mainline,5497.244,0.3500,0.7221
q3,mainline,5763.758,0.3500,0.7221
q3,mainline,5828.225,0.4000,0.7823
q3,mainline,6298.998,0.4000,0.7823
q3,mainline,6371.615,0.4000,0.7823
q3,mainline,6439.232,0.4500,0.8534
q3,mainline,6707.379,0.4500,0.8534
q3,mainline,6772.619,0.5000,0.9388
q3,mainline,7011.004,0.5000,0.9592
q3,mainline,7381.773,0.5000,0.9592
q3,mainline,7752.543,0.5000,0.9796
q3,mainline,8123.312,0.5000,0.9796
q3,mainline,8494.081,1.0000,
q3,a4_nearest_cert,119.000,0.0000,0.1857
q3,a4_nearest_cert,358.047,0.0000,0.3143
q3,a4_nearest_cert,555.992,0.0000,0.3571
q3,a4_nearest_cert,720.018,0.0000,0.3714
q3,a4_nearest_cert,955.719,0.0000,0.4112
q3,a4_nearest_cert,1113.744,0.0000,0.4378
q3,a4_nearest_cert,1234.044,0.0000,0.4510
q3,a4_nearest_cert,1370.032,0.0000,0.4510
q3,a4_nearest_cert,1479.488,0.0000,0.4510
q3,a4_nearest_cert,1575.716,0.0000,0.4510
q3,a4_nearest_cert,1580.716,0.0500,0.4748
q3,a4_nearest_cert,2108.977,0.0500,0.4844
q3,a4_nearest_cert,2233.762,0.0500,0.4619
q3,a4_nearest_cert,2374.766,0.0500,0.4619
q3,a4_nearest_cert,2484.038,0.0500,0.4619
q3,a4_nearest_cert,2602.615,0.0500,0.4619
q3,a4_nearest_cert,2694.250,0.0500,0.4619
q3,a4_nearest_cert,2759.303,0.1000,0.4875
q3,a4_nearest_cert,3078.721,0.1000,0.5215
q3,a4_nearest_cert,3144.238,0.1000,0.5215
q3,a4_nearest_cert,3267.499,0.1000,0.5215
q3,a4_nearest_cert,3333.864,0.1000,0.5215
q3,a4_nearest_cert,3428.176,0.1000,0.5215
q3,a4_nearest_cert,3507.625,0.1000,0.5215
q3,a4_nearest_cert,3579.850,0.1000,0.5215
q3,a4_nearest_cert,3584.850,0.1500,0.5522
q3,a4_nearest_cert,3817.117,0.1500,0.5522
q3,a4_nearest_cert,3822.117,0.2000,0.5867
q3,a4_nearest_cert,3967.902,0.2000,0.5867
q3,a4_nearest_cert,4051.653,0.2000,0.5867
q3,a4_nearest_cert,4284.921,0.2000,0.5867
q3,a4_nearest_cert,4414.756,0.2000,0.5867
q3,a4_nearest_cert,4480.643,0.2500,0.6259
q3,a4_nearest_cert,4705.445,0.2500,0.6259
q3,a4_nearest_cert,4807.953,0.2500,0.6259
q3,a4_nearest_cert,4887.968,0.2500,0.6259
q3,a4_nearest_cert,4955.592,0.3000,0.6706
q3,a4_nearest_cert,5275.177,0.3000,0.6706
q3,a4_nearest_cert,5358.933,0.3000,0.6706
q3,a4_nearest_cert,5430.589,0.3000,0.6706
q3,a4_nearest_cert,5497.244,0.3500,0.7221
q3,a4_nearest_cert,5763.758,0.3500,0.7221
q3,a4_nearest_cert,5828.225,0.4000,0.7823
q3,a4_nearest_cert,6298.998,0.4000,0.7823
q3,a4_nearest_cert,6371.615,0.4000,0.7823
q3,a4_nearest_cert,6439.232,0.4500,0.8534
q3,a4_nearest_cert,6707.379,0.4500,0.8534
q3,a4_nearest_cert,6772.619,0.5000,0.9388
q3,a4_nearest_cert,7011.004,0.5000,0.9592
q3,a4_nearest_cert,7381.773,0.5000,0.9592
q3,a4_nearest_cert,7752.543,0.5000,0.9796
q3,a4_nearest_cert,8123.312,0.5000,0.9796
q3,a4_nearest_cert,8494.081,1.0000,
q4,mainline,119.000,0.0000,0.0000
q4,mainline,286.019,0.0000,0.0000
q4,mainline,292.019,0.0000,0.0000
q4,mainline,298.019,0.0000,0.0000
q4,mainline,460.039,0.0000,0.0000
q4,mainline,466.039,0.0000,0.0000
q4,mainline,632.723,0.0000,0.0000
q4,mainline,638.723,0.0000,0.0000
q4,mainline,903.323,0.0000,0.0000
q4,mainline,996.251,0.0000,0.0000
q4,mainline,1089.179,0.0000,0.0000
q4,mainline,1182.108,0.0000,0.0000
q4,mainline,1275.036,0.0000,0.0000
q4,mainline,1374.892,0.0000,0.0000
q4,mainline,1467.820,0.0000,0.0000
q4,mainline,1560.749,0.0000,0.0000
q4,mainline,1653.677,0.0000,0.0000
q4,mainline,1746.605,0.0000,0.0000
q4,mainline,1839.533,0.0000,0.0000
q4,mainline,1932.462,0.0000,0.0000
q4,mainline,2025.390,0.0000,0.0000
q4,mainline,2118.318,0.0000,0.0000
q4,mainline,2218.174,0.0000,0.0000
q4,mainline,2311.103,0.0000,0.0000
q4,mainline,2404.031,0.0000,0.0000
q4,mainline,2496.959,0.0000,0.0000
q4,mainline,2589.887,0.0000,0.0000
q4,mainline,2682.815,0.0000,0.0000
q4,mainline,2775.744,0.0000,0.0000
q4,mainline,2868.672,0.0000,0.0000
q4,mainline,2961.600,0.0000,0.0000
q4,mainline,3054.528,0.0000,0.0000
q4,mainline,3147.456,0.0000,0.0000
q4,mainline,3240.385,0.0000,0.0000
q4,mainline,3333.313,0.0000,0.0000
q4,mainline,3426.241,0.0000,0.0000
q4,mainline,3519.169,0.0000,0.0000
q4,mainline,3612.097,0.0000,0.0000
q4,mainline,3705.026,0.0000,0.0000
q4,mainline,3797.954,0.0000,0.0000
q4,mainline,3890.882,0.0000,0.0000
q4,mainline,3983.810,0.0000,0.0000
q4,mainline,4076.738,0.0000,0.0000
q4,mainline,4169.667,0.0000,0.0000
q4,mainline,4262.595,0.0000,0.0000
q4,mainline,4355.523,0.0000,0.0000
q4,mainline,4448.451,0.0000,0.0000
q4,mainline,4541.379,0.0000,0.0000
q4,mainline,4628.308,0.0000,0.0000
q4,mainline,4715.236,0.0000,0.0000
q4,mainline,4802.164,0.0000,0.0000
q4,mainline,4889.092,0.0000,0.0000
q4,mainline,4976.020,0.0000,0.0000
q4,mainline,5062.949,0.0000,0.0000
q4,mainline,5149.877,0.0000,0.0000
q4,mainline,5236.805,0.0000,0.0000
q4,mainline,5323.733,0.0000,0.0000
q4,mainline,5410.661,0.0000,0.0000
q4,mainline,5497.590,0.0000,0.0000
q4,mainline,5584.518,0.0000,0.0000
q4,mainline,5671.446,0.0000,0.0000
q4,mainline,5758.374,0.0000,0.0000
q4,mainline,5847.302,0.0500,0.0000
q4,mainline,5853.302,0.0500,0.0000
q4,mainline,5859.302,0.0500,0.0000
q4,mainline,5865.302,0.0500,0.0000
q4,mainline,6125.780,0.0500,0.0000
q4,mainline,6131.780,0.0500,0.0000
q4,mainline,6304.018,0.0500,0.0000
q4,mainline,6458.360,0.0500,0.0000
q4,mainline,6539.288,0.0500,0.0000
q4,mainline,6620.217,0.0500,0.0000
q4,mainline,6701.145,0.0500,0.0000
q4,mainline,6782.073,0.0500,0.0000
q4,mainline,6863.001,0.0500,0.0000
q4,mainline,6943.929,0.0500,0.0000
q4,mainline,7024.858,0.0500,0.0000
q4,mainline,7105.786,0.0500,0.0000
q4,mainline,7186.714,0.0500,0.0000
q4,mainline,7267.642,0.0500,0.0000
q4,mainline,7348.570,0.0500,0.0000
q4,mainline,7429.499,0.0500,0.0000
q4,mainline,7510.427,0.0500,0.0000
q4,mainline,7591.355,0.0500,0.0000
q4,mainline,7672.283,0.0500,0.0000
q4,mainline,7753.212,0.0500,0.0000
q4,mainline,7834.140,0.0500,0.0000
q4,mainline,7915.068,0.0500,0.0000
q4,mainline,7995.996,0.0500,0.0000
q4,mainline,8076.924,0.0500,0.0000
q4,mainline,8157.853,0.0500,0.0000
q4,mainline,8238.781,0.0500,0.0000
q4,mainline,8319.709,0.0500,0.0000
q4,mainline,8400.637,0.0500,0.0000
q4,mainline,8481.565,0.0500,0.0000
q4,mainline,8562.494,0.0500,0.0000
q4,mainline,8643.422,0.0500,0.0000
q4,mainline,8724.350,0.0500,0.0000
q4,mainline,8805.278,0.0500,0.0000
q4,mainline,8886.206,0.0500,0.0000
q4,mainline,8967.135,0.0500,0.0000
q4,mainline,9048.063,0.0500,0.0000
q4,mainline,9128.991,0.0500,0.0000
q4,mainline,9209.919,0.0500,0.0000
q4,mainline,9290.847,0.0500,0.0000
q4,mainline,9371.776,0.0500,0.0000
q4,mainline,9452.704,0.0500,0.0000
q4,mainline,9565.364,0.1000,0.0000
q4,mainline,9571.364,0.1000,0.0000
q4,mainline,9799.188,0.1000,0.0000
q4,mainline,9880.116,0.1000,0.0000
q4,mainline,9961.045,0.1000,0.0000
q4,mainline,10041.973,0.1000,0.0000
q4,mainline,10122.901,0.1000,0.0000
q4,mainline,10203.829,0.1000,0.0000
q4,mainline,10284.757,0.1000,0.0000
q4,mainline,10365.686,0.1000,0.0000
q4,mainline,10440.614,0.1000,0.0000
q4,mainline,10515.542,0.1000,0.0000
q4,mainline,10590.470,0.1000,0.0000
q4,mainline,10665.398,0.1000,0.0000
q4,mainline,10754.183,0.1000,0.0000
q4,mainline,10829.111,0.1000,0.0000
q4,mainline,10904.039,0.1000,0.0000
q4,mainline,10978.968,0.1000,0.0000
q4,mainline,11053.896,0.1000,0.0000
q4,mainline,11128.824,0.1000,0.0000
q4,mainline,11203.752,0.1000,0.0000
q4,mainline,11278.680,0.1000,0.0000
q4,mainline,11353.609,0.1000,0.0000
q4,mainline,11428.537,0.1000,0.0000
q4,mainline,11503.465,0.1000,0.0000
q4,mainline,11578.393,0.1000,0.0000
q4,mainline,11653.321,0.1000,0.0000
q4,mainline,11728.250,0.1000,0.0000
q4,mainline,11808.250,0.1000,0.0000
q4,mainline,11883.178,0.1000,0.0000
q4,mainline,11958.106,0.1000,0.0000
