step,virtual_time_before,virtual_time_after,action_type,target_x,target_y,channel,policy_mode,reason_code,movement_distance,movement_time,switch_time,action_time
1,0.0,0.0,enter,,,,lifecycle,enter_exit,0.0,0.0,0.0,0.0
1,0.0,5.0,measure,0.0,0.0,1,certificate,q3_backbone,0.0,0.0,0.0,5.0
1,5.0,11.0,measure,0.0,0.0,2,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,11.0,17.0,measure,0.0,0.0,3,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,17.0,23.0,measure,0.0,0.0,4,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,23.0,29.0,measure,0.0,0.0,5,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,29.0,35.0,measure,0.0,0.0,6,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,35.0,41.0,measure,0.0,0.0,7,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,41.0,47.0,measure,0.0,0.0,8,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,47.0,53.0,measure,0.0,0.0,9,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,53.0,59.0,measure,0.0,0.0,10,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,59.0,65.0,measure,0.0,0.0,11,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,65.0,71.0,measure,0.0,0.0,12,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,71.0,77.0,measure,0.0,0.0,13,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,77.0,83.0,measure,0.0,0.0,14,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,83.0,89.0,measure,0.0,0.0,15,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,89.0,95.0,measure,0.0,0.0,16,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,95.0,101.0,measure,0.0,0.0,17,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,101.0,107.0,measure,0.0,0.0,18,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,107.0,113.0,measure,0.0,0.0,19,certificate,q3_backbone,0.0,0.0,1.0,5.0
1,113.0,119.0,measure,0.0,0.0,20,certificate,q3_backbone,0.0,0.0,1.0,5.0
2,119.0,285.645513,measure,666.3894447374875,457.3367549030436,20,active_localization,nbv:opportunistic,808.227567,161.645513,0.0,5.0
2,285.645513,291.645513,measure,666.3894447374875,457.3367549030436,10,active_localization,nbv,0.0,0.0,1.0,5.0
2,291.645513,297.645513,measure,666.3894447374875,457.3367549030436,1,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,297.645513,303.645513,measure,666.3894447374875,457.3367549030436,2,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,303.645513,309.645513,measure,666.3894447374875,457.3367549030436,3,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,309.645513,315.645513,measure,666.3894447374875,457.3367549030436,4,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,315.645513,321.645513,measure,666.3894447374875,457.3367549030436,5,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,321.645513,327.645513,measure,666.3894447374875,457.3367549030436,6,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,327.645513,333.645513,measure,666.3894447374875,457.3367549030436,7,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,333.645513,339.645513,measure,666.3894447374875,457.3367549030436,8,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,339.645513,345.645513,measure,666.3894447374875,457.3367549030436,9,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,345.645513,351.645513,measure,666.3894447374875,457.3367549030436,11,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,351.645513,357.645513,measure,666.3894447374875,457.3367549030436,12,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,357.645513,363.645513,measure,666.3894447374875,457.3367549030436,13,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,363.645513,369.645513,measure,666.3894447374875,457.3367549030436,14,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,369.645513,375.645513,measure,666.3894447374875,457.3367549030436,15,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,375.645513,381.645513,measure,666.3894447374875,457.3367549030436,16,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,381.645513,387.645513,measure,666.3894447374875,457.3367549030436,17,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,387.645513,393.645513,measure,666.3894447374875,457.3367549030436,18,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
2,393.645513,399.645513,measure,666.3894447374875,457.3367549030436,19,active_localization,nbv:opportunistic,0.0,0.0,1.0,5.0
3,399.645513,472.166587,clear,329.6105782427565,480.94569450431976,10,ready_clear,clear,337.605372,67.521074,0.0,5.0
3,472.166587,477.166587,measure,329.6105782427565,480.94569450431976,19,ready_clear,clear:opportunistic,0.0,0.0,0.0,5.0
3,477.166587,483.166587,measure,329.6105782427565,480.94569450431976,1,ready_clear,clear:opportunistic,0.0,0.0,1.0,5.0
3,483.166587,489.166587,measure,329.6105782427565,480.94569450431976,2,ready_clear,clear:opportunistic,0.0,0.0,1.0,5.0
3,489.166587,495.166587,measure,329.6105782427565,480.94569450431976,3,ready_clear,clear:opportunistic,0.0,0.0,1.0,5.0
3,495.166587,501.166587,measure,329.6105782427565,480.94569450431976,4,ready_clear,clear:opportunistic,0.0,0.0,1.0,5.0
3,501.166587,507.166587,measure,329.6105782427565,480.94569450431976,5,ready_clear,clear:opportunistic,0.0,0.0,1.0,5.0
3,507.166587,513.166587,measure,329.6105782427565,480.94569450431976,6,ready_clear,clear:opportunistic,0.0,0.0,1.0,5.0
