step,virtual_time,x,y,channel,result,bearing_deg,status_before,status_after,svd_deg
1,5.0,0.0,0.0,1,no_signal,,UNKNOWN,UNKNOWN,
1,11.0,0.0,0.0,2,direction,134.89,UNKNOWN,ACTIVE,134.89
1,17.0,0.0,0.0,3,direction,199.25,UNKNOWN,ACTIVE,199.25
1,23.0,0.0,0.0,4,no_signal,,UNKNOWN,UNKNOWN,
1,29.0,0.0,0.0,5,direction,267.12,UNKNOWN,ACTIVE,267.12
1,35.0,0.0,0.0,6,direction,159.18,UNKNOWN,ACTIVE,159.18
1,41.0,0.0,0.0,7,direction,205.39,UNKNOWN,ACTIVE,205.39
1,47.0,0.0,0.0,8,no_signal,,UNKNOWN,UNKNOWN,
1,53.0,0.0,0.0,9,no_signal,,UNKNOWN,UNKNOWN,
1,59.0,0.0,0.0,10,direction,56.3,UNKNOWN,ACTIVE,56.3
1,65.0,0.0,0.0,11,no_signal,,UNKNOWN,UNKNOWN,
1,71.0,0.0,0.0,12,no_signal,,UNKNOWN,UNKNOWN,
1,77.0,0.0,0.0,13,no_signal,,UNKNOWN,UNKNOWN,
1,83.0,0.0,0.0,14,direction,274.63,UNKNOWN,ACTIVE,274.63
1,89.0,0.0,0.0,15,no_signal,,UNKNOWN,UNKNOWN,
1,95.0,0.0,0.0,16,no_signal,,UNKNOWN,UNKNOWN,
1,101.0,0.0,0.0,17,no_signal,,UNKNOWN,UNKNOWN,
1,107.0,0.0,0.0,18,no_signal,,UNKNOWN,UNKNOWN,
1,113.0,0.0,0.0,19,no_signal,,UNKNOWN,UNKNOWN,
1,119.0,0.0,0.0,20,no_signal,,UNKNOWN,UNKNOWN,
2,285.645513,666.3894447374875,457.3367549030436,20,no_signal,,UNKNOWN,UNKNOWN,
2,291.645513,666.3894447374875,457.3367549030436,10,direction,174.99,ACTIVE,READY,174.99
2,297.645513,666.3894447374875,457.3367549030436,1,no_signal,,UNKNOWN,UNKNOWN,
2,303.645513,666.3894447374875,457.3367549030436,2,no_signal,,ACTIVE,ACTIVE,
2,309.645513,666.3894447374875,457.3367549030436,3,direction,208.71,ACTIVE,ACTIVE,208.71
2,315.645513,666.3894447374875,457.3367549030436,4,no_signal,,UNKNOWN,UNKNOWN,
2,321.645513,666.3894447374875,457.3367549030436,5,no_signal,,ACTIVE,ACTIVE,
2,327.645513,666.3894447374875,457.3367549030436,6,no_signal,,ACTIVE,ACTIVE,
2,333.645513,666.3894447374875,457.3367549030436,7,no_signal,,ACTIVE,ACTIVE,
2,339.645513,666.3894447374875,457.3367549030436,8,direction,319.76,UNKNOWN,ACTIVE,319.76
2,345.645513,666.3894447374875,457.3367549030436,9,no_signal,,UNKNOWN,UNKNOWN,
2,351.645513,666.3894447374875,457.3367549030436,11,no_signal,,UNKNOWN,UNKNOWN,
2,357.645513,666.3894447374875,457.3367549030436,12,no_signal,,UNKNOWN,UNKNOWN,
2,363.645513,666.3894447374875,457.3367549030436,13,no_signal,,UNKNOWN,UNKNOWN,
2,369.645513,666.3894447374875,457.3367549030436,14,no_signal,,ACTIVE,ACTIVE,
2,375.645513,666.3894447374875,457.3367549030436,15,no_signal,,UNKNOWN,UNKNOWN,
2,381.645513,666.3894447374875,457.3367549030436,16,direction,302.62,UNKNOWN,ACTIVE,302.62
2,387.645513,666.3894447374875,457.3367549030436,17,no_signal,,UNKNOWN,UNKNOWN,
2,393.645513,666.3894447374875,457.3367549030436,18,direction,317.83,UNKNOWN,ACTIVE,317.83
2,399.645513,666.3894447374875,457.3367549030436,19,no_signal,,UNKNOWN,UNKNOWN,
3,477.166587,329.6105782427565,480.94569450431976,19,no_signal,,UNKNOWN,UNKNOWN,
3,483.166587,329.6105782427565,480.94569450431976,1,no_signal,,UNKNOWN,UNKNOWN,
3,489.166587,329.6105782427565,480.94569450431976,2,direction,170.41,ACTIVE,ACTIVE,170.41
3,495.166587,329.6105782427565,480.94569450431976,3,direction,218.2,ACTIVE,ACTIVE,218.2
3,501.166587,329.6105782427565,480.94569450431976,4,no_signal,,UNKNOWN,UNKNOWN,
3,507.166587,329.6105782427565,480.94569450431976,5,no_signal,,ACTIVE,ACTIVE,
3,513.166587,329.6105782427565,480.94569450431976,6,direction,185.68,ACTIVE,ACTIVE,185.68
3,519.166587,329.6105782427565,480.94569450431976,7,direction,218.5,ACTIVE,ACTIVE,218.5
3,525.166587,329.6105782427565,480.94569450431976,8,direction,330.98,ACTIVE,ACTIVE,330.98
3,531.166587,329.6105782427565,480.94569450431976,9,no_signal,,UNKNOWN,UNKNOWN,
3,537.166587,329.6105782427565,480.94569450431976,11,no_signal,,UNKNOWN,UNKNOWN,
3,543.166587,329.6105782427565,480.94569450431976,12,no_signal,,UNKNOWN,UNKNOWN,
3,549.166587,329.6105782427565,480.94569450431976,13,no_signal,,UNKNOWN,UNKNOWN,
3,555.166587,329.6105782427565,480.94569450431976,14,no_signal,,ACTIVE,ACTIVE,
3,561.166587,329.6105782427565,480.94569450431976,15,no_signal,,UNKNOWN,UNKNOWN,
3,567.166587,329.6105782427565,480.94569450431976,16,no_signal,,ACTIVE,ACTIVE,
3,573.166587,329.6105782427565,480.94569450431976,17,no_signal,,UNKNOWN,UNKNOWN,
3,579.166587,329.6105782427565,480.94569450431976,18,no_signal,,ACTIVE,ACTIVE,
3,585.166587,329.6105782427565,480.94569450431976,20,no_signal,,UNKNOWN,UNKNOWN,
4,788.817382,991.8900349304911,-259.2835779774374,20,no_signal,,UNKNOWN,UNKNOWN,
4,794.817382,991.8900349304911,-259.2835779774374,18,direction,356.32,ACTIVE,ACTIVE,356.32
4,800.817382,991.8900349304911,-259.2835779774374,1,no_signal,,UNKNOWN,UNKNOWN,
4,806.817382,991.8900349304911,-259.2835779774374,2,no_signal,,ACTIVE,ACTIVE,
4,812.817382,991.8900349304911,-259.2835779774374,3,no_signal,,ACTIVE,ACTIVE,
4,818.817382,991.8900349304911,-259.2835779774374,4,no_signal,,UNKNOWN,UNKNOWN,
4,824.817382,991.8900349304911,-259.2835779774374,5,no_signal,,ACTIVE,ACTIVE,
4,830.817382,991.8900349304911,-259.2835779774374,6,no_signal,,ACTIVE,ACTIVE,
4,836.817382,991.8900349304911,-259.2835779774374,7,no_signal,,ACTIVE,ACTIVE,
4,842.817382,991.8900349304911,-259.2835779774374,8,direction,37.43,ACTIVE,READY,37.43
4,848.817382,991.8900349304911,-259.2835779774374,9,no_signal,,UNKNOWN,UNKNOWN,
4,854.817382,991.8900349304911,-259.2835779774374,11,no_signal,,UNKNOWN,UNKNOWN,
4,860.817382,991.8900349304911,-259.2835779774374,12,no_signal,,UNKNOWN,UNKNOWN,
4,866.817382,991.8900349304911,-259.2835779774374,13,no_signal,,UNKNOWN,UNKNOWN,
4,872.817382,991.8900349304911,-259.2835779774374,14,no_signal,,ACTIVE,ACTIVE,
4,878.817382,991.8900349304911,-259.2835779774374,15,no_signal,,UNKNOWN,UNKNOWN,
4,884.817382,991.8900349304911,-259.2835779774374,16,direction,337.97,ACTIVE,ACTIVE,337.97
4,890.817382,991.8900349304911,-259.2835779774374,17,no_signal,,UNKNOWN,UNKNOWN,
4,896.817382,991.8900349304911,-259.2835779774374,19,no_signal,,UNKNOWN,UNKNOWN,
5,974.896907,1264.845391323848,-55.89744939511423,19,no_signal,,UNKNOWN,UNKNOWN,
5,980.896907,1264.845391323848,-55.89744939511423,1,no_signal,,UNKNOWN,UNKNOWN,
5,986.896907,1264.845391323848,-55.89744939511423,4,no_signal,,UNKNOWN,UNKNOWN,
5,992.896907,1264.845391323848,-55.89744939511423,5,no_signal,,ACTIVE,ACTIVE,
5,998.896907,1264.845391323848,-55.89744939511423,9,no_signal,,UNKNOWN,UNKNOWN,
5,1004.896907,1264.845391323848,-55.89744939511423,11,no_signal,,UNKNOWN,UNKNOWN,
5,1010.896907,1264.845391323848,-55.89744939511423,12,no_signal,,UNKNOWN,UNKNOWN,
5,1016.896907,1264.845391323848,-55.89744939511423,13,no_signal,,UNKNOWN,UNKNOWN,
5,1022.896907,1264.845391323848,-55.89744939511423,14,no_signal,,ACTIVE,ACTIVE,
5,1028.896907,1264.845391323848,-55.89744939511423,15,no_signal,,UNKNOWN,UNKNOWN,
5,1034.896907,1264.845391323848,-55.89744939511423,16,direction,248.98,ACTIVE,READY,248.98
5,1040.896907,1264.845391323848,-55.89744939511423,17,no_signal,,UNKNOWN,UNKNOWN,
5,1046.896907,1264.845391323848,-55.89744939511423,18,direction,313.43,ACTIVE,READY,313.43
5,1052.896907,1264.845391323848,-55.89744939511423,20,no_signal,,UNKNOWN,UNKNOWN,
6,1117.861885,1166.9034708769086,-312.67770659164285,20,no_signal,,UNKNOWN,UNKNOWN,
6,1123.861885,1166.9034708769086,-312.67770659164285,1,no_signal,,UNKNOWN,UNKNOWN,
6,1129.861885,1166.9034708769086,-312.67770659164285,4,no_signal,,UNKNOWN,UNKNOWN,
6,1135.861885,1166.9034708769086,-312.67770659164285,5,no_signal,,ACTIVE,ACTIVE,
6,1141.861885,1166.9034708769086,-312.67770659164285,9,no_signal,,UNKNOWN,UNKNOWN,
6,1147.861885,1166.9034708769086,-312.67770659164285,11,no_signal,,UNKNOWN,UNKNOWN,
6,1153.861885,1166.9034708769086,-312.67770659164285,12,no_signal,,UNKNOWN,UNKNOWN,
6,1159.861885,1166.9034708769086,-312.67770659164285,13,no_signal,,UNKNOWN,UNKNOWN,
6,1165.861885,1166.9034708769086,-312.67770659164285,14,no_signal,,ACTIVE,ACTIVE,
6,1171.861885,1166.9034708769086,-312.67770659164285,15,no_signal,,UNKNOWN,UNKNOWN,
6,1177.861885,1166.9034708769086,-312.67770659164285,17,no_signal,,UNKNOWN,UNKNOWN,
6,1183.861885,1166.9034708769086,-312.67770659164285,19,no_signal,,UNKNOWN,UNKNOWN,
7,1257.908667,1486.623260656329,-294.5389732716703,19,no_signal,,UNKNOWN,UNKNOWN,
7,1263.908667,1486.623260656329,-294.5389732716703,1,no_signal,,UNKNOWN,UNKNOWN,
7,1269.908667,1486.623260656329,-294.5389732716703,4,no_signal,,UNKNOWN,UNKNOWN,
7,1275.908667,1486.623260656329,-294.5389732716703,5,no_signal,,ACTIVE,ACTIVE,
7,1281.908667,1486.623260656329,-294.5389732716703,9,no_signal,,UNKNOWN,UNKNOWN,
7,1287.908667,1486.623260656329,-294.5389732716703,11,no_signal,,UNKNOWN,UNKNOWN,
7,1293.908667,1486.623260656329,-294.5389732716703,12,no_signal,,UNKNOWN,UNKNOWN,
7,1299.908667,1486.623260656329,-294.5389732716703,13,no_signal,,UNKNOWN,UNKNOWN,
7,1305.908667,1486.623260656329,-294.5389732716703,14,no_signal,,ACTIVE,ACTIVE,
7,1311.908667,1486.623260656329,-294.5389732716703,15,no_signal,,UNKNOWN,UNKNOWN,
7,1317.908667,1486.623260656329,-294.5389732716703,17,no_signal,,UNKNOWN,UNKNOWN,
7,1323.908667,1486.623260656329,-294.5389732716703,20,no_signal,,UNKNOWN,UNKNOWN,
8,1569.076038,364.88383735405506,-723.1528081298027,20,no_signal,,UNKNOWN,UNKNOWN,
8,1575.076038,364.88383735405506,-723.1528081298027,14,direction,229.14,ACTIVE,ACTIVE,229.14
8,1581.076038,364.88383735405506,-723.1528081298027,1,no_signal,,UNKNOWN,UNKNOWN,
8,1587.076038,364.88383735405506,-723.1528081298027,2,no_signal,,ACTIVE,ACTIVE,
8,1593.076038,364.88383735405506,-723.1528081298027,3,direction,146.33,ACTIVE,ACTIVE,146.33
8,1599.076038,364.88383735405506,-723.1528081298027,4,no_signal,,UNKNOWN,UNKNOWN,
8,1605.076038,364.88383735405506,-723.1528081298027,5,direction,235.48,ACTIVE,ACTIVE,235.48
8,1611.076038,364.88383735405506,-723.1528081298027,6,no_signal,,ACTIVE,ACTIVE,
8,1617.076038,364.88383735405506,-723.1528081298027,7,direction,160.98,ACTIVE,ACTIVE,160.98
8,1623.076038,364.88383735405506,-723.1528081298027,9,no_signal,,UNKNOWN,UNKNOWN,
8,1629.076038,364.88383735405506,-723.1528081298027,11,direction,207.87,UNKNOWN,ACTIVE,207.87
8,1635.076038,364.88383735405506,-723.1528081298027,12,no_signal,,UNKNOWN,UNKNOWN,
8,1641.076038,364.88383735405506,-723.1528081298027,13,no_signal,,UNKNOWN,UNKNOWN,
8,1647.076038,364.88383735405506,-723.1528081298027,15,no_signal,,UNKNOWN,UNKNOWN,
8,1653.076038,364.88383735405506,-723.1528081298027,17,no_signal,,UNKNOWN,UNKNOWN,
8,1659.076038,364.88383735405506,-723.1528081298027,19,no_signal,,UNKNOWN,UNKNOWN,
9,1825.920697,-156.5162811107694,-1342.0100296653654,19,no_signal,,UNKNOWN,UNKNOWN,
9,1831.920697,-156.5162811107694,-1342.0100296653654,11,direction,177.72,ACTIVE,ACTIVE,177.72
9,1837.920697,-156.5162811107694,-1342.0100296653654,1,no_signal,,UNKNOWN,UNKNOWN,
9,1843.920697,-156.5162811107694,-1342.0100296653654,2,no_signal,,ACTIVE,ACTIVE,
9,1849.920697,-156.5162811107694,-1342.0100296653654,3,direction,106.34,ACTIVE,READY,106.34
9,1855.920697,-156.5162811107694,-1342.0100296653654,4,no_signal,,UNKNOWN,UNKNOWN,
9,1861.920697,-156.5162811107694,-1342.0100296653654,5,direction,12.32,ACTIVE,READY,12.32
9,1867.920697,-156.5162811107694,-1342.0100296653654,6,no_signal,,ACTIVE,ACTIVE,
9,1873.920697,-156.5162811107694,-1342.0100296653654,7,direction,119.48,ACTIVE,ACTIVE,119.48
9,1879.920697,-156.5162811107694,-1342.0100296653654,9,no_signal,,UNKNOWN,UNKNOWN,
9,1885.920697,-156.5162811107694,-1342.0100296653654,12,no_signal,,UNKNOWN,UNKNOWN,
9,1891.920697,-156.5162811107694,-1342.0100296653654,13,no_signal,,UNKNOWN,UNKNOWN,
9,1897.920697,-156.5162811107694,-1342.0100296653654,14,direction,49.76,ACTIVE,ACTIVE,49.76
9,1903.920697,-156.5162811107694,-1342.0100296653654,15,no_signal,,UNKNOWN,UNKNOWN,
9,1909.920697,-156.5162811107694,-1342.0100296653654,17,no_signal,,UNKNOWN,UNKNOWN,
9,1915.920697,-156.5162811107694,-1342.0100296653654,20,no_signal,,UNKNOWN,UNKNOWN,
10,1945.216806,-62.63120771837254,-1319.7819325218059,20,no_signal,,UNKNOWN,UNKNOWN,
10,1951.216806,-62.63120771837254,-1319.7819325218059,1,no_signal,,UNKNOWN,UNKNOWN,
10,1957.216806,-62.63120771837254,-1319.7819325218059,4,no_signal,,UNKNOWN,UNKNOWN,
10,1963.216806,-62.63120771837254,-1319.7819325218059,7,direction,123.98,ACTIVE,ACTIVE,123.98
10,1969.216806,-62.63120771837254,-1319.7819325218059,9,no_signal,,UNKNOWN,UNKNOWN,
10,1975.216806,-62.63120771837254,-1319.7819325218059,11,direction,179.9,ACTIVE,ACTIVE,179.9
10,1981.216806,-62.63120771837254,-1319.7819325218059,12,no_signal,,UNKNOWN,UNKNOWN,
10,1987.216806,-62.63120771837254,-1319.7819325218059,13,no_signal,,UNKNOWN,UNKNOWN,
10,1993.216806,-62.63120771837254,-1319.7819325218059,14,direction,61.57,ACTIVE,ACTIVE,61.57
10,1999.216806,-62.63120771837254,-1319.7819325218059,15,no_signal,,UNKNOWN,UNKNOWN,
10,2005.216806,-62.63120771837254,-1319.7819325218059,17,no_signal,,UNKNOWN,UNKNOWN,
10,2011.216806,-62.63120771837254,-1319.7819325218059,19,no_signal,,UNKNOWN,UNKNOWN,
11,2264.933567,-487.42886249703656,-177.6377007094049,19,no_signal,,UNKNOWN,UNKNOWN,
11,2270.933567,-487.42886249703656,-177.6377007094049,1,no_signal,,UNKNOWN,UNKNOWN,
11,2276.933567,-487.42886249703656,-177.6377007094049,2,direction,99.54,ACTIVE,ACTIVE,99.54
11,2282.933567,-487.42886249703656,-177.6377007094049,4,no_signal,,UNKNOWN,UNKNOWN,
11,2288.933567,-487.42886249703656,-177.6377007094049,6,direction,128.32,ACTIVE,ACTIVE,128.32
11,2294.933567,-487.42886249703656,-177.6377007094049,7,direction,214.02,ACTIVE,READY,214.02
11,2300.933567,-487.42886249703656,-177.6377007094049,9,no_signal,,UNKNOWN,UNKNOWN,
11,2306.933567,-487.42886249703656,-177.6377007094049,11,direction,257.13,ACTIVE,ACTIVE,257.13
11,2312.933567,-487.42886249703656,-177.6377007094049,12,no_signal,,UNKNOWN,UNKNOWN,
11,2318.933567,-487.42886249703656,-177.6377007094049,13,no_signal,,UNKNOWN,UNKNOWN,
11,2324.933567,-487.42886249703656,-177.6377007094049,14,direction,303.47,ACTIVE,ACTIVE,303.47
11,2330.933567,-487.42886249703656,-177.6377007094049,15,no_signal,,UNKNOWN,UNKNOWN,
11,2336.933567,-487.42886249703656,-177.6377007094049,17,no_signal,,UNKNOWN,UNKNOWN,
11,2342.933567,-487.42886249703656,-177.6377007094049,20,no_signal,,UNKNOWN,UNKNOWN,
12,2410.290304,-724.4563128193042,-339.0776894416567,20,no_signal,,UNKNOWN,UNKNOWN,
12,2416.290304,-724.4563128193042,-339.0776894416567,1,no_signal,,UNKNOWN,UNKNOWN,
12,2422.290304,-724.4563128193042,-339.0776894416567,2,direction,82.88,ACTIVE,READY,82.88
12,2428.290304,-724.4563128193042,-339.0776894416567,4,direction,182.21,UNKNOWN,ACTIVE,182.21
12,2434.290304,-724.4563128193042,-339.0776894416567,6,direction,105.13,ACTIVE,ACTIVE,105.13
12,2440.290304,-724.4563128193042,-339.0776894416567,9,no_signal,,UNKNOWN,UNKNOWN,
