sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,direction,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,direction,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,direction,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,direction,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,direction,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,direction,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,direction,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,direction,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,direction,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,no_signal,0.0,1.0,5.0,113.0,119.0
22,/measure,-216.5063509461097,-124.99999999999993,4,direction,50.0,1.0,5.0,119.0,175.0
23,/measure,-216.5063509461097,-124.99999999999993,5,direction,0.0,1.0,5.0,175.0,181.0
24,/measure,-216.5063509461097,-124.99999999999993,6,direction,0.0,1.0,5.0,181.0,187.0
25,/measure,-216.5063509461097,-124.99999999999993,7,direction,0.0,1.0,5.0,187.0,193.0
26,/measure,-216.5063509461097,-124.99999999999993,10,direction,0.0,1.0,5.0,193.0,199.0
27,/measure,-216.5063509461097,-124.99999999999993,12,direction,0.0,1.0,5.0,199.0,205.0
28,/measure,-216.5063509461097,-124.99999999999993,13,direction,0.0,1.0,5.0,205.0,211.0
29,/measure,-216.5063509461097,-124.99999999999993,14,direction,0.0,1.0,5.0,211.0,217.0
30,/measure,-216.5063509461097,-124.99999999999993,19,direction,0.0,1.0,5.0,217.0,223.0
31,/clear,-197.5727421212747,-229.86099982909747,4,success,21.311321712451214,0.0,5.0,223.0,249.31132171245122
32,/measure,-362.4601132060147,-652.4196911525283,14,direction,90.71795693383032,1.0,5.0,249.31132171245122,346.02927864628157
33,/clear,-364.52244775556846,-637.828579058269,14,success,2.9472276867695397,0.0,5.0,346.02927864628157,353.97650633305113
34,/measure,-364.52244775556846,-637.828579058269,7,no_signal,0.0,1.0,5.0,353.97650633305113,359.97650633305113
35,/measure,-364.52244775556846,-637.828579058269,12,direction,0.0,1.0,5.0,359.97650633305113,365.97650633305113
36,/measure,-364.52244775556846,-637.828579058269,13,direction,0.0,1.0,5.0,365.97650633305113,371.97650633305113
37,/measure,-573.2069571329823,-992.8235730062803,1,no_signal,82.35791891062826,1.0,5.0,371.97650633305113,460.3344252436794
38,/measure,-573.2069571329823,-992.8235730062803,2,no_signal,0.0,1.0,5.0,460.3344252436794,466.3344252436794
39,/measure,-573.2069571329823,-992.8235730062803,3,no_signal,0.0,1.0,5.0,466.3344252436794,472.3344252436794
40,/measure,-573.2069571329823,-992.8235730062803,8,no_signal,0.0,1.0,5.0,472.3344252436794,478.3344252436794
41,/measure,-573.2069571329823,-992.8235730062803,9,no_signal,0.0,1.0,5.0,478.3344252436794,484.3344252436794
42,/measure,-573.2069571329823,-992.8235730062803,11,no_signal,0.0,1.0,5.0,484.3344252436794,490.3344252436794
43,/measure,-573.2069571329823,-992.8235730062803,15,no_signal,0.0,1.0,5.0,490.3344252436794,496.3344252436794
44,/measure,-573.2069571329823,-992.8235730062803,16,no_signal,0.0,1.0,5.0,496.3344252436794,502.3344252436794
45,/measure,-573.2069571329823,-992.8235730062803,17,no_signal,0.0,1.0,5.0,502.3344252436794,508.3344252436794
46,/measure,-573.2069571329823,-992.8235730062803,18,no_signal,0.0,1.0,5.0,508.3344252436794,514.3344252436793
47,/measure,-573.2069571329823,-992.8235730062803,20,no_signal,0.0,1.0,5.0,514.3344252436793,520.3344252436793
48,/measure,-573.2069571329823,-992.8235730062803,12,direction,0.0,1.0,5.0,520.3344252436793,526.3344252436793
49,/measure,-573.2069571329823,-992.8235730062803,13,direction,0.0,1.0,5.0,526.3344252436793,532.3344252436793
50,/clear,7.81665207434887,-1265.6161706463874,12,success,128.3751121960251,0.0,5.0,532.3344252436793,665.7095374397045
51,/measure,573.2069571329824,-992.8235730062811,1,no_signal,125.55190136059775,1.0,5.0,665.7095374397045,797.2614388003022
52,/measure,573.2069571329824,-992.8235730062811,2,no_signal,0.0,1.0,5.0,797.2614388003022,803.2614388003022
53,/measure,573.2069571329824,-992.8235730062811,3,no_signal,0.0,1.0,5.0,803.2614388003022,809.2614388003022
54,/measure,573.2069571329824,-992.8235730062811,8,no_signal,0.0,1.0,5.0,809.2614388003022,815.2614388003022
55,/measure,573.2069571329824,-992.8235730062811,9,no_signal,0.0,1.0,5.0,815.2614388003022,821.2614388003022
56,/measure,573.2069571329824,-992.8235730062811,11,no_signal,0.0,1.0,5.0,821.2614388003022,827.2614388003022
57,/measure,573.2069571329824,-992.8235730062811,15,no_signal,0.0,1.0,5.0,827.2614388003022,833.2614388003022
58,/measure,573.2069571329824,-992.8235730062811,16,no_signal,0.0,1.0,5.0,833.2614388003022,839.2614388003022
59,/measure,573.2069571329824,-992.8235730062811,17,no_signal,0.0,1.0,5.0,839.2614388003022,845.2614388003022
60,/measure,573.2069571329824,-992.8235730062811,18,no_signal,0.0,1.0,5.0,845.2614388003022,851.2614388003022
61,/measure,573.2069571329824,-992.8235730062811,20,no_signal,0.0,1.0,5.0,851.2614388003022,857.2614388003022
62,/measure,573.2069571329824,-992.8235730062811,5,direction,0.0,1.0,5.0,857.2614388003022,863.2614388003022
