sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,no_signal,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,no_signal,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,direction,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,direction,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,direction,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,direction,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,no_signal,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,direction,0.0,1.0,5.0,113.0,119.0
22,/measure,250.0,0.0,7,direction,50.0,1.0,5.0,119.0,175.0
23,/measure,250.0,0.0,10,direction,0.0,1.0,5.0,175.0,181.0
24,/measure,250.0,0.0,12,direction,0.0,1.0,5.0,181.0,187.0
25,/measure,250.0,0.0,18,direction,0.0,1.0,5.0,187.0,193.0
26,/measure,250.0,0.0,20,direction,0.0,1.0,5.0,193.0,199.0
27,/clear,-95.57923570318889,-225.836374568763,12,success,82.5656287392188,0.0,5.0,199.0,286.5656287392188
28,/measure,-95.57923570318889,-225.836374568763,7,direction,0.0,1.0,5.0,286.5656287392188,292.5656287392188
29,/measure,-95.57923570318889,-225.836374568763,20,direction,0.0,1.0,5.0,292.5656287392188,298.5656287392188
30,/measure,-408.7891878272083,522.6944926249472,20,direction,162.2835707336141,0.0,5.0,298.5656287392188,465.84919947283294
31,/clear,-408.9515987433679,522.8016032291836,20,success,0.038910146351657654,0.0,5.0,465.84919947283294,470.8881096191846
32,/measure,-408.9515987433679,522.8016032291836,10,no_signal,0.0,1.0,5.0,470.8881096191846,476.8881096191846
33,/measure,-408.9515987433679,522.8016032291836,18,direction,0.0,1.0,5.0,476.8881096191846,482.8881096191846
34,/measure,-749.9999999999997,1299.038105676658,1,no_signal,169.57088426160811,1.0,5.0,482.8881096191846,658.4589938807927
35,/measure,-749.9999999999997,1299.038105676658,2,no_signal,0.0,1.0,5.0,658.4589938807927,664.4589938807927
36,/measure,-749.9999999999997,1299.038105676658,3,no_signal,0.0,1.0,5.0,664.4589938807927,670.4589938807927
37,/measure,-749.9999999999997,1299.038105676658,4,no_signal,0.0,1.0,5.0,670.4589938807927,676.4589938807927
38,/measure,-749.9999999999997,1299.038105676658,5,no_signal,0.0,1.0,5.0,676.4589938807927,682.4589938807927
39,/measure,-749.9999999999997,1299.038105676658,6,no_signal,0.0,1.0,5.0,682.4589938807927,688.4589938807927
40,/measure,-749.9999999999997,1299.038105676658,8,no_signal,0.0,1.0,5.0,688.4589938807927,694.4589938807927
41,/measure,-749.9999999999997,1299.038105676658,9,no_signal,0.0,1.0,5.0,694.4589938807927,700.4589938807927
42,/measure,-749.9999999999997,1299.038105676658,11,no_signal,0.0,1.0,5.0,700.4589938807927,706.4589938807927
43,/measure,-749.9999999999997,1299.038105676658,13,no_signal,0.0,1.0,5.0,706.4589938807927,712.4589938807927
44,/measure,-749.9999999999997,1299.038105676658,14,no_signal,0.0,1.0,5.0,712.4589938807927,718.4589938807927
45,/measure,-749.9999999999997,1299.038105676658,15,no_signal,0.0,1.0,5.0,718.4589938807927,724.4589938807927
46,/measure,-749.9999999999997,1299.038105676658,16,no_signal,0.0,1.0,5.0,724.4589938807927,730.4589938807927
47,/measure,-749.9999999999997,1299.038105676658,17,no_signal,0.0,1.0,5.0,730.4589938807927,736.4589938807927
48,/measure,-749.9999999999997,1299.038105676658,19,no_signal,0.0,1.0,5.0,736.4589938807927,742.4589938807927
49,/measure,-749.9999999999997,1299.038105676658,18,no_signal,0.0,1.0,5.0,742.4589938807927,748.4589938807927
50,/measure,750.0000000000001,1299.038105676658,1,no_signal,299.99999999999994,1.0,5.0,748.4589938807927,1054.4589938807926
51,/measure,750.0000000000001,1299.038105676658,2,no_signal,0.0,1.0,5.0,1054.4589938807926,1060.4589938807926
52,/measure,750.0000000000001,1299.038105676658,3,no_signal,0.0,1.0,5.0,1060.4589938807926,1066.4589938807926
53,/measure,750.0000000000001,1299.038105676658,4,no_signal,0.0,1.0,5.0,1066.4589938807926,1072.4589938807926
54,/measure,750.0000000000001,1299.038105676658,5,no_signal,0.0,1.0,5.0,1072.4589938807926,1078.4589938807926
55,/measure,750.0000000000001,1299.038105676658,6,no_signal,0.0,1.0,5.0,1078.4589938807926,1084.4589938807926
56,/measure,750.0000000000001,1299.038105676658,8,no_signal,0.0,1.0,5.0,1084.4589938807926,1090.4589938807926
57,/measure,750.0000000000001,1299.038105676658,9,no_signal,0.0,1.0,5.0,1090.4589938807926,1096.4589938807926
58,/measure,750.0000000000001,1299.038105676658,11,no_signal,0.0,1.0,5.0,1096.4589938807926,1102.4589938807926
59,/measure,750.0000000000001,1299.038105676658,13,no_signal,0.0,1.0,5.0,1102.4589938807926,1108.4589938807926
60,/measure,750.0000000000001,1299.038105676658,14,no_signal,0.0,1.0,5.0,1108.4589938807926,1114.4589938807926
61,/measure,750.0000000000001,1299.038105676658,15,direction,0.0,1.0,5.0,1114.4589938807926,1120.4589938807926
62,/measure,750.0000000000001,1299.038105676658,16,no_signal,0.0,1.0,5.0,1120.4589938807926,1126.4589938807926
