sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,direction,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,no_signal,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,no_signal,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,direction,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,no_signal,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,no_signal,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,direction,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,direction,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,direction,0.0,1.0,5.0,113.0,119.0
22,/measure,1.5308084989341916e-14,250.0,4,direction,50.0,1.0,5.0,119.0,175.0
23,/measure,1.5308084989341916e-14,250.0,9,direction,0.0,1.0,5.0,175.0,181.0
24,/measure,1.5308084989341916e-14,250.0,18,direction,0.0,1.0,5.0,181.0,187.0
25,/measure,1.5308084989341916e-14,250.0,19,direction,0.0,1.0,5.0,187.0,193.0
26,/measure,1.5308084989341916e-14,250.0,20,direction,0.0,1.0,5.0,193.0,199.0
27,/clear,-215.5828950132831,339.4075837787285,18,success,46.67748950381055,0.0,5.0,199.0,250.67748950381053
28,/measure,-215.5828950132831,339.4075837787285,9,direction,0.0,1.0,5.0,250.67748950381053,256.67748950381053
29,/measure,-215.5828950132831,339.4075837787285,20,direction,0.0,1.0,5.0,256.67748950381053,262.67748950381053
30,/measure,257.2511024870641,365.2389597670923,19,direction,94.70781365391359,1.0,5.0,262.67748950381053,363.38530315772414
31,/clear,257.2511024870641,365.2389597670923,19,success,0.0,0.0,5.0,363.38530315772414,368.38530315772414
32,/measure,257.2511024870641,365.2389597670923,4,direction,0.0,1.0,5.0,368.38530315772414,374.38530315772414
33,/measure,573.206957132982,992.8235730062802,1,direction,140.52623226424504,1.0,5.0,374.38530315772414,520.9115354219691
34,/measure,573.206957132982,992.8235730062802,2,no_signal,0.0,1.0,5.0,520.9115354219691,526.9115354219691
35,/measure,573.206957132982,992.8235730062802,3,no_signal,0.0,1.0,5.0,526.9115354219691,532.9115354219691
36,/measure,573.206957132982,992.8235730062802,5,no_signal,0.0,1.0,5.0,532.9115354219691,538.9115354219691
37,/measure,573.206957132982,992.8235730062802,6,no_signal,0.0,1.0,5.0,538.9115354219691,544.9115354219691
38,/measure,573.206957132982,992.8235730062802,7,no_signal,0.0,1.0,5.0,544.9115354219691,550.9115354219691
39,/measure,573.206957132982,992.8235730062802,8,no_signal,0.0,1.0,5.0,550.9115354219691,556.9115354219691
40,/measure,573.206957132982,992.8235730062802,10,no_signal,0.0,1.0,5.0,556.9115354219691,562.9115354219691
41,/measure,573.206957132982,992.8235730062802,11,no_signal,0.0,1.0,5.0,562.9115354219691,568.9115354219691
42,/measure,573.206957132982,992.8235730062802,12,no_signal,0.0,1.0,5.0,568.9115354219691,574.9115354219691
43,/measure,573.206957132982,992.8235730062802,13,no_signal,0.0,1.0,5.0,574.9115354219691,580.9115354219691
44,/measure,573.206957132982,992.8235730062802,14,no_signal,0.0,1.0,5.0,580.9115354219691,586.9115354219691
45,/measure,573.206957132982,992.8235730062802,15,no_signal,0.0,1.0,5.0,586.9115354219691,592.9115354219691
46,/measure,573.206957132982,992.8235730062802,16,no_signal,0.0,1.0,5.0,592.9115354219691,598.9115354219691
47,/measure,573.206957132982,992.8235730062802,17,no_signal,0.0,1.0,5.0,598.9115354219691,604.9115354219691
48,/measure,917.2776359584636,961.1333735688057,1,direction,69.10539798534255,1.0,5.0,604.9115354219691,680.0169334073116
49,/measure,1342.0036307713935,1031.059434061384,1,direction,86.08875062535051,0.0,5.0,680.0169334073116,771.1056840326621
50,/measure,1309.2793848344493,1033.003408097098,1,direction,6.556387136809855,0.0,5.0,771.1056840326621,782.6620711694719
51,/clear,1278.0001743421403,1028.046469710354,1,success,6.333909526326206,0.0,5.0,782.6620711694719,793.9959806957982
52,/measure,1146.4139142659626,-4.547473508864641e-13,2,no_signal,207.28670847160055,1.0,5.0,793.9959806957982,1007.2826891673988
53,/measure,1146.4139142659626,-4.547473508864641e-13,3,no_signal,0.0,1.0,5.0,1007.2826891673988,1013.2826891673988
54,/measure,1146.4139142659626,-4.547473508864641e-13,5,no_signal,0.0,1.0,5.0,1013.2826891673988,1019.2826891673988
55,/measure,1146.4139142659626,-4.547473508864641e-13,6,no_signal,0.0,1.0,5.0,1019.2826891673988,1025.2826891673988
56,/measure,1146.4139142659626,-4.547473508864641e-13,7,no_signal,0.0,1.0,5.0,1025.2826891673988,1031.2826891673988
57,/measure,1146.4139142659626,-4.547473508864641e-13,8,no_signal,0.0,1.0,5.0,1031.2826891673988,1037.2826891673988
58,/measure,1146.4139142659626,-4.547473508864641e-13,10,direction,0.0,1.0,5.0,1037.2826891673988,1043.2826891673988
59,/measure,1146.4139142659626,-4.547473508864641e-13,11,no_signal,0.0,1.0,5.0,1043.2826891673988,1049.2826891673988
60,/measure,1146.4139142659626,-4.547473508864641e-13,12,no_signal,0.0,1.0,5.0,1049.2826891673988,1055.2826891673988
61,/measure,1146.4139142659626,-4.547473508864641e-13,13,no_signal,0.0,1.0,5.0,1055.2826891673988,1061.2826891673988
