sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,direction,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,direction,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,direction,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,no_signal,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,direction,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,no_signal,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,no_signal,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,direction,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,no_signal,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,direction,0.0,1.0,5.0,113.0,119.0
22,/measure,-179.29639313926938,731.0656884695734,1,direction,150.54623707688515,1.0,5.0,119.0,275.5462370768852
23,/measure,-273.8914410517586,1092.6688738819387,1,no_signal,74.75428731248411,0.0,5.0,275.5462370768852,355.3005243893693
24,/clear,-170.1563151957962,747.3871477705644,1,no_target_in_range,72.10560220199326,0.0,3.0,355.3005243893693,430.4061265913625
25,/clear,-177.1671314368549,773.1468100555293,1,no_target_in_range,5.339332338041278,0.0,3.0,430.4061265913625,438.7454589294038
26,/clear,-184.17794767791358,798.9064723404941,1,no_target_in_range,5.3393323380412765,0.0,3.0,438.7454589294038,447.0847912674451
27,/clear,-191.18876391897226,824.666134625459,1,no_target_in_range,5.3393323380412765,0.0,3.0,447.0847912674451,455.4241236054864
28,/clear,-198.1995801600309,850.4257969104237,1,no_target_in_range,5.339332338041253,0.0,3.0,455.4241236054864,463.7634559435276
29,/clear,-205.21039640108958,876.1854591953886,1,no_target_in_range,5.3393323380412765,0.0,3.0,463.7634559435276,472.1027882815689
30,/clear,-212.22121264214826,901.9451214803535,1,no_target_in_range,5.3393323380412765,0.0,3.0,472.1027882815689,480.4421206196102
31,/clear,-219.23202888320697,927.7047837653183,1,no_target_in_range,5.339332338041278,0.0,3.0,480.4421206196102,488.7814529576515
32,/clear,-226.2428451242656,953.4644460502832,1,no_target_in_range,5.339332338041276,0.0,3.0,488.7814529576515,497.12078529569277
33,/clear,-233.25366136532432,979.224108335248,1,no_target_in_range,5.339332338041278,0.0,3.0,497.12078529569277,505.46011763373406
34,/clear,-240.26447760638302,1004.9837706202129,1,success,5.339332338041278,0.0,5.0,505.46011763373406,515.7994499717753
35,/measure,-240.26447760638302,1004.9837706202129,2,no_signal,0.0,1.0,5.0,515.7994499717753,521.7994499717753
36,/measure,-240.26447760638302,1004.9837706202129,5,no_signal,0.0,1.0,5.0,521.7994499717753,527.7994499717753
37,/measure,-240.26447760638302,1004.9837706202129,17,no_signal,0.0,1.0,5.0,527.7994499717753,533.7994499717753
38,/measure,-240.26447760638302,1004.9837706202129,20,direction,0.0,1.0,5.0,533.7994499717753,539.7994499717753
39,/measure,-380.77001520326434,919.2601348487303,3,no_signal,32.91829146554871,1.0,5.0,539.7994499717753,578.717741437324
40,/measure,-380.77001520326434,919.2601348487303,4,no_signal,0.0,1.0,5.0,578.717741437324,584.717741437324
41,/measure,-380.77001520326434,919.2601348487303,6,direction,0.0,1.0,5.0,584.717741437324,590.717741437324
42,/measure,-380.77001520326434,919.2601348487303,7,no_signal,0.0,1.0,5.0,590.717741437324,596.717741437324
43,/measure,-380.77001520326434,919.2601348487303,9,no_signal,0.0,1.0,5.0,596.717741437324,602.717741437324
44,/measure,-380.77001520326434,919.2601348487303,10,direction,0.0,1.0,5.0,602.717741437324,608.717741437324
45,/measure,-380.77001520326434,919.2601348487303,11,no_signal,0.0,1.0,5.0,608.717741437324,614.717741437324
46,/measure,-380.77001520326434,919.2601348487303,12,no_signal,0.0,1.0,5.0,614.717741437324,620.717741437324
47,/measure,-380.77001520326434,919.2601348487303,13,no_signal,0.0,1.0,5.0,620.717741437324,626.717741437324
48,/measure,-380.77001520326434,919.2601348487303,14,no_signal,0.0,1.0,5.0,626.717741437324,632.717741437324
49,/measure,-380.77001520326434,919.2601348487303,15,no_signal,0.0,1.0,5.0,632.717741437324,638.717741437324
50,/measure,-380.77001520326434,919.2601348487303,16,no_signal,0.0,1.0,5.0,638.717741437324,644.717741437324
51,/measure,-380.77001520326434,919.2601348487303,18,direction,0.0,1.0,5.0,644.717741437324,650.717741437324
52,/measure,-380.77001520326434,919.2601348487303,19,no_signal,0.0,1.0,5.0,650.717741437324,656.717741437324
53,/measure,-380.77001520326434,919.2601348487303,2,direction,0.0,1.0,5.0,656.717741437324,662.717741437324
54,/measure,-380.77001520326434,919.2601348487303,5,no_signal,0.0,1.0,5.0,662.717741437324,668.717741437324
55,/measure,-380.77001520326434,919.2601348487303,8,no_signal,0.0,1.0,5.0,668.717741437324,674.717741437324
