sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,no_signal,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,direction,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,direction,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,direction,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,no_signal,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,no_signal,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,no_signal,0.0,1.0,5.0,113.0,119.0
22,/measure,703.5712472806148,703.5712472806148,20,no_signal,199.0,0.0,5.0,119.0,323.0
23,/measure,703.5712472806148,703.5712472806148,1,direction,0.0,1.0,5.0,323.0,329.0
24,/measure,703.5712472806148,703.5712472806148,2,no_signal,0.0,1.0,5.0,329.0,335.0
25,/measure,703.5712472806148,703.5712472806148,3,no_signal,0.0,1.0,5.0,335.0,341.0
26,/measure,703.5712472806148,703.5712472806148,4,no_signal,0.0,1.0,5.0,341.0,347.0
27,/measure,703.5712472806148,703.5712472806148,5,no_signal,0.0,1.0,5.0,347.0,353.0
28,/measure,703.5712472806148,703.5712472806148,7,no_signal,0.0,1.0,5.0,353.0,359.0
29,/measure,703.5712472806148,703.5712472806148,9,no_signal,0.0,1.0,5.0,359.0,365.0
30,/measure,703.5712472806148,703.5712472806148,11,direction,0.0,1.0,5.0,365.0,371.0
31,/measure,703.5712472806148,703.5712472806148,12,no_signal,0.0,1.0,5.0,371.0,377.0
32,/measure,703.5712472806148,703.5712472806148,13,no_signal,0.0,1.0,5.0,377.0,383.0
33,/measure,703.5712472806148,703.5712472806148,14,no_signal,0.0,1.0,5.0,383.0,389.0
34,/measure,703.5712472806148,703.5712472806148,15,no_signal,0.0,1.0,5.0,389.0,395.0
35,/measure,703.5712472806148,703.5712472806148,16,no_signal,0.0,1.0,5.0,395.0,401.0
36,/measure,703.5712472806148,703.5712472806148,17,no_signal,0.0,1.0,5.0,401.0,407.0
37,/measure,703.5712472806148,703.5712472806148,18,no_signal,0.0,1.0,5.0,407.0,413.0
38,/measure,703.5712472806148,703.5712472806148,19,no_signal,0.0,1.0,5.0,413.0,419.0
39,/measure,703.5712472806148,703.5712472806148,6,direction,0.0,1.0,5.0,419.0,425.0
40,/measure,703.5712472806148,703.5712472806148,8,no_signal,0.0,1.0,5.0,425.0,431.0
41,/measure,251.0374033021416,287.12866843176005,8,direction,122.99777256913521,0.0,5.0,431.0,558.9977725691352
42,/clear,4.947182912385976,90.7336338870528,6,success,62.97028066168841,0.0,5.0,558.9977725691352,626.9680532308237
43,/measure,4.947182912385976,90.7336338870528,1,no_signal,0.0,1.0,5.0,626.9680532308237,632.9680532308237
44,/measure,4.947182912385976,90.7336338870528,8,direction,0.0,1.0,5.0,632.9680532308237,638.9680532308237
45,/measure,4.947182912385976,90.7336338870528,11,no_signal,0.0,1.0,5.0,638.9680532308237,644.9680532308237
46,/measure,418.2818697821437,580.976212338601,8,direction,128.2471596717125,1.0,5.0,644.9680532308237,779.2152129025362
47,/measure,450.84986333363526,633.0780094871106,8,direction,12.288647557928316,0.0,5.0,779.2152129025362,796.5038604604646
48,/clear,469.6303999186413,672.9076941577944,8,no_target_in_range,8.807070648943036,0.0,3.0,796.5038604604646,808.3109311094076
49,/measure,469.6303999186413,672.9076941577944,1,no_signal,0.0,1.0,5.0,808.3109311094076,814.3109311094076
50,/measure,469.6303999186413,672.9076941577944,10,no_signal,0.0,1.0,5.0,814.3109311094076,820.3109311094076
51,/measure,469.6303999186413,672.9076941577944,11,direction,0.0,1.0,5.0,820.3109311094076,826.3109311094076
52,/clear,480.5110452291053,696.4388999261332,8,success,5.18500178315891,0.0,5.0,826.3109311094076,836.4959328925665
53,/clear,590.4193348923307,939.0031551318982,11,success,53.26058581736514,0.0,5.0,836.4959328925665,894.7565187099317
54,/measure,6.092617825758082e-14,995.0,2,no_signal,118.61376608975608,1.0,5.0,894.7565187099317,1019.3702847996877
55,/measure,6.092617825758082e-14,995.0,3,no_signal,0.0,1.0,5.0,1019.3702847996877,1025.3702847996879
56,/measure,6.092617825758082e-14,995.0,4,no_signal,0.0,1.0,5.0,1025.3702847996879,1031.3702847996879
57,/measure,6.092617825758082e-14,995.0,5,no_signal,0.0,1.0,5.0,1031.3702847996879,1037.3702847996879
58,/measure,6.092617825758082e-14,995.0,7,no_signal,0.0,1.0,5.0,1037.3702847996879,1043.3702847996879
59,/measure,6.092617825758082e-14,995.0,9,no_signal,0.0,1.0,5.0,1043.3702847996879,1049.3702847996879
60,/measure,6.092617825758082e-14,995.0,12,no_signal,0.0,1.0,5.0,1049.3702847996879,1055.3702847996879
61,/measure,6.092617825758082e-14,995.0,13,no_signal,0.0,1.0,5.0,1055.3702847996879,1061.3702847996879
62,/measure,6.092617825758082e-14,995.0,14,no_signal,0.0,1.0,5.0,1061.3702847996879,1067.3702847996879
63,/measure,6.092617825758082e-14,995.0,15,no_signal,0.0,1.0,5.0,1067.3702847996879,1073.3702847996879
64,/measure,6.092617825758082e-14,995.0,16,no_signal,0.0,1.0,5.0,1073.3702847996879,1079.3702847996879
