variant_id,question,source_count,n_runs,n_accepted,acceptance_rate,mean_t_per_source_s,median_t_per_source_s,p90_t_per_source_s,paired_n_vs_full,paired_delta_vs_full_s,paired_delta_vs_full_pct
q3_no_joint_route,q3,10,20,20,1.0,358.8173780031147,362.2811960901468,379.3300359757269,20,84.08937161051227,30.608226920390358
q3_no_shared_probe,q3,10,20,20,1.0,274.69959233457337,278.41139230871556,296.6724357060829,20,-0.028414058029056832,-0.010342614283179953
q3_no_site_projection,q3,10,20,20,1.0,274.79126397648884,280.69978777612107,294.4726751347977,20,0.06325758388641134,0.023025531585597628
q3_no_site_refinement,q3,10,20,20,1.0,301.57824167178717,304.5325574185154,316.70434477923976,20,26.850235279184744,9.773388462192013
q3_no_trial_clear,q3,10,20,20,1.0,276.5456373108956,280.63045980956133,297.55008264316416,20,1.8176309182931618,0.6616110756817638
q3_no_joint_route,q3,16,20,20,1.0,256.06295643984754,256.92156298998543,275.58128613440704,20,58.83454961768388,29.83066717703279
q3_no_shared_probe,q3,16,20,20,1.0,196.50266829298693,194.65642674539134,214.97159772668275,20,-0.7257385291767378,-0.3679685603459341
q3_no_site_projection,q3,16,20,20,1.0,196.36485907847785,196.0764353072273,211.60008270838824,20,-0.8635477436858139,-0.4378414639147063
q3_no_site_refinement,q3,16,20,20,1.0,209.28625788376158,209.97057407130893,232.61926884343072,20,12.057851061597916,6.113648259842308
q3_no_trial_clear,q3,16,20,20,1.0,197.7014747161316,197.27291404689618,215.9047436718422,20,0.47306789396793647,0.23985788943399566
