question,parameter,locked_value,values,value,mean_t_per_source_s,n
q3,probe,250,"[150, 250, 350]",150,226.29081763199514,10
q3,probe,250,"[150, 250, 350]",250,223.61705203302284,10
q3,probe,250,"[150, 250, 350]",350,224.25790233759403,10
q3,share_ratio,0.7,"[0.5, 0.7, 0.9]",0.5,222.32070257022573,10
q3,share_ratio,0.7,"[0.5, 0.7, 0.9]",0.7,223.61705203302284,10
q3,share_ratio,0.7,"[0.5, 0.7, 0.9]",0.9,225.31711345399813,10
q3,trial_radius,40,"[20, 40, 60]",20,225.56319269186847,10
q3,trial_radius,40,"[20, 40, 60]",40,223.61705203302284,10
q3,trial_radius,40,"[20, 40, 60]",60,223.4321994926482,10
q3,planning_radius,1500,"[1000, 1500, 1800]",1000,223.17776396637228,10
q3,planning_radius,1500,"[1000, 1500, 1800]",1500,223.61705203302284,10
q3,planning_radius,1500,"[1000, 1500, 1800]",1800,224.5747467334614,10
q4,radio_limit,12,"[8, 12, 16]",8,461.3173555631703,10
q4,radio_limit,12,"[8, 12, 16]",12,461.3173555631703,10
q4,radio_limit,12,"[8, 12, 16]",16,461.3173555631703,10
q4,crossbar_offset,0.03,"[0.02, 0.03, 0.05]",0.02,462.9028440824028,10
q4,crossbar_offset,0.03,"[0.02, 0.03, 0.05]",0.03,461.3173555631703,10
q4,crossbar_offset,0.03,"[0.02, 0.03, 0.05]",0.05,459.0850391344035,10
q4,crossbar_fraction,0.25,"[0.15, 0.25, 0.4]",0.15,463.62414387234355,10
q4,crossbar_fraction,0.25,"[0.15, 0.25, 0.4]",0.25,461.3173555631703,10
q4,crossbar_fraction,0.25,"[0.15, 0.25, 0.4]",0.4,467.1523778813524,10
q4,initial_rotation_steps,12,"[6, 12, 18]",6,464.5602758467109,10
q4,initial_rotation_steps,12,"[6, 12, 18]",12,461.3173555631703,10
q4,initial_rotation_steps,12,"[6, 12, 18]",18,467.901327292358,10
q4,trial_radius,40.0,"[20.0, 40.0, 60.0]",20.0,464.95304685348685,10
q4,trial_radius,40.0,"[20.0, 40.0, 60.0]",40.0,461.3173555631703,10
q4,trial_radius,40.0,"[20.0, 40.0, 60.0]",60.0,460.14487314210555,10
