sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,no_signal,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,direction,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,direction,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,no_signal,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,direction,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,direction,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,no_signal,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,no_signal,0.0,1.0,5.0,113.0,119.0
22,/measure,0.0,995.0000000000001,20,no_signal,199.00000000000003,0.0,5.0,119.0,323.0
23,/measure,0.0,995.0000000000001,1,no_signal,0.0,1.0,5.0,323.0,329.0
24,/measure,0.0,995.0000000000001,2,no_signal,0.0,1.0,5.0,329.0,335.0
25,/measure,0.0,995.0000000000001,3,no_signal,0.0,1.0,5.0,335.0,341.0
26,/measure,0.0,995.0000000000001,4,no_signal,0.0,1.0,5.0,341.0,347.0
27,/measure,0.0,995.0000000000001,5,no_signal,0.0,1.0,5.0,347.0,353.0
28,/measure,0.0,995.0000000000001,7,direction,0.0,1.0,5.0,353.0,359.0
29,/measure,0.0,995.0000000000001,8,no_signal,0.0,1.0,5.0,359.0,365.0
30,/measure,0.0,995.0000000000001,10,no_signal,0.0,1.0,5.0,365.0,371.0
31,/measure,0.0,995.0000000000001,13,no_signal,0.0,1.0,5.0,371.0,377.0
32,/measure,0.0,995.0000000000001,14,no_signal,0.0,1.0,5.0,377.0,383.0
33,/measure,0.0,995.0000000000001,15,no_signal,0.0,1.0,5.0,383.0,389.0
34,/measure,0.0,995.0000000000001,16,no_signal,0.0,1.0,5.0,389.0,395.0
35,/measure,0.0,995.0000000000001,17,no_signal,0.0,1.0,5.0,395.0,401.0
36,/measure,0.0,995.0000000000001,18,no_signal,0.0,1.0,5.0,401.0,407.0
37,/measure,0.0,995.0000000000001,19,no_signal,0.0,1.0,5.0,407.0,413.0
38,/measure,0.0,995.0000000000001,6,no_signal,0.0,1.0,5.0,413.0,419.0
39,/measure,0.0,995.0000000000001,9,direction,0.0,1.0,5.0,419.0,425.0
40,/measure,0.0,995.0000000000001,11,direction,0.0,1.0,5.0,425.0,431.0
