kind,variant_id,question,case_id,case_hash,case_seed,source_count,accepted,verifier_all_ok,cleared_count,sources_total,t_per_source_s,T_total_virtual,T_move,T_measure,T_switch,T_clear,n_measures,n_switches,n_clear_attempts,parameter_sha256,parameters_json,metrics_path
ablation,q3_full,q3,paper_q3_n10_s950000,7a6593237b58b86cee5e80b0c287c99eb5b7499d3b9928bccbd24346edd6983e,950000,10,True,True,10,10,245.53070384379188,2455.307038437919,1705.3070384379184,580.0,114.0,56.0,116,114,12,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950000/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950001,6e9578549d4b363915ee9bb8dd6425650dfc6221a92773b543f006d262365298,950001,10,True,True,10,10,271.3632563068608,2713.6325630686083,1941.6325630686079,600.0,116.0,56.0,120,116,12,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950001/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950002,356d73bee4329b5e0251a177ef17d08322738d1e81e22652d55eaec8779b034d,950002,10,True,True,10,10,264.77018532634486,2647.701853263449,1934.701853263449,555.0,108.0,50.0,111,108,10,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950002/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950003,229d17a7d1155ef74d5350cca718704f1e82937d3892f4d4fa08afc23210214e,950003,10,True,True,10,10,288.5263586754616,2885.263586754616,2159.2635867546173,570.0,106.0,50.0,114,106,10,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950003/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950004,326bcd24e7f64c7809ccd9d768ebbeb9702a2d46f3e10b6c910be5b0d8f31100,950004,10,True,True,10,10,250.6061665305036,2506.061665305036,1749.061665305036,590.0,114.0,53.0,118,114,11,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950004/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950005,eae2437cb774d21be431a70fed8ad9d1c4b05daebb9dd84cdf650b32ac6ef41e,950005,10,True,True,10,10,298.0696348600823,2980.696348600823,2183.696348600823,625.0,119.0,53.0,125,119,11,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950005/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950006,ee598aa4e45f83eb49bbd22e99e53f7bdca975ce996fcfebeb487715a1c740f6,950006,10,True,True,10,10,283.507235112423,2835.0723511242304,2053.072351124231,615.0,114.0,53.0,123,114,11,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950006/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950007,06845e5f5cdd3dc83914ce6eab8170da7bc7fba4883082077a2224930e16c02c,950007,10,True,True,10,10,296.3700422076025,2963.7004220760255,2189.7004220760255,610.0,114.0,50.0,122,114,10,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950007/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950008,ce87a58f99931fc3e322fa2a4c739a578b017b9e8110c4a08da99aa85a45564f,950008,10,True,True,10,10,292.99473435259904,2929.94734352599,2136.9473435259906,620.0,120.0,53.0,124,120,11,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950008/metrics.json
ablation,q3_full,q3,paper_q3_n10_s950009,62b906d64de55e8992ae3428e6fae4826c5952809819c29180cd8018bb388392,950009,10,True,True,10,10,280.99623417792805,2809.9623417792805,2062.9623417792805,585.0,112.0,50.0,117,112,10,4729540c1c31a4320ee95e5aab56cd5e3b982a41422bc81fe25c88ff0ce01d88,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1500, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",ablation/q3_full/q3/paper_q3_n10_s950009/metrics.json
