variant_id,question,source_count,n_runs,n_accepted,acceptance_rate,mean_t_per_source_s,median_t_per_source_s,p90_t_per_source_s,paired_n_vs_full,paired_delta_vs_full_s,paired_delta_vs_full_pct
q3_full,q3,10,20,20,1.0,274.7280063926024,279.07360348244345,296.5400014728505,20,0.0,0.0
q3_no_joint_route,q3,10,20,20,1.0,358.8173780031147,362.2811960901468,379.3300359757269,20,84.08937161051227,30.608226920390358
q3_no_shared_probe,q3,10,20,20,1.0,274.69959233457337,278.41139230871556,296.6724357060829,20,-0.028414058029056832,-0.010342614283179953
q3_no_site_projection,q3,10,20,20,1.0,274.79126397648884,280.69978777612107,294.4726751347977,20,0.06325758388641134,0.023025531585597628
q3_no_site_refinement,q3,10,20,20,1.0,301.57824167178717,304.5325574185154,316.70434477923976,20,26.850235279184744,9.773388462192013
q3_no_trial_clear,q3,10,20,20,1.0,276.5456373108956,280.63045980956133,297.55008264316416,20,1.8176309182931618,0.6616110756817638
q3_full,q3,16,20,20,1.0,197.22840682216366,195.63590261820053,215.42415368125583,20,0.0,0.0
q3_no_joint_route,q3,16,20,20,1.0,256.06295643984754,256.92156298998543,275.58128613440704,20,58.83454961768388,29.83066717703279
q3_no_shared_probe,q3,16,20,20,1.0,196.50266829298693,194.65642674539134,214.97159772668275,20,-0.7257385291767378,-0.3679685603459341
q3_no_site_projection,q3,16,20,20,1.0,196.36485907847785,196.0764353072273,211.60008270838824,20,-0.8635477436858139,-0.4378414639147063
q3_no_site_refinement,q3,16,20,20,1.0,209.28625788376158,209.97057407130893,232.61926884343072,20,12.057851061597916,6.113648259842308
q3_no_trial_clear,q3,16,20,20,1.0,197.7014747161316,197.27291404689618,215.9047436718422,20,0.47306789396793647,0.23985788943399566
q4_full,q4,10,20,20,1.0,590.3498377047417,584.8620622001304,627.2059144812055,20,0.0,0.0
q4_no_count_stop,q4,10,20,20,1.0,590.3498377047417,584.8620622001304,627.2059144812055,20,0.0,0.0
q4_no_crossbar,q4,10,20,20,1.0,666.2849580711368,641.9212334445338,787.1714175437455,20,75.93512036639504,12.862732487846184
q4_no_exact_insertion,q4,10,20,20,1.0,590.3839838569977,580.7363419751223,627.5080197696369,20,0.034146152255971174,0.005784053805914497
q4_no_negative_update,q4,10,20,20,1.0,591.1542145492178,585.0083747896206,626.3579170368969,20,0.8043768444761099,0.1362542670636613
q4_no_rotation,q4,10,20,20,1.0,592.2206129993735,591.2417788137059,623.0286395695407,20,1.8707752946318124,0.31689265841171693
q4_no_trial_clear,q4,10,20,20,1.0,593.607333970353,587.1324478609799,628.6806200600811,20,3.2574962656112803,0.5517908293625191
q4_full,q4,16,20,20,1.0,317.54324541966497,325.2994914105915,346.89989752060615,20,0.0,0.0
q4_no_count_stop,q4,16,20,3,0.15,364.99648312262934,365.14431450155996,370.6170864374499,3,54.19686163832188,17.437878907152506
q4_no_crossbar,q4,16,20,20,1.0,408.1398627591013,419.49503438336023,483.3602456621098,20,90.5966173394363,28.53048164186389
q4_no_exact_insertion,q4,16,20,20,1.0,320.1641728829266,327.41347409441,351.20171170948095,20,2.620927463261637,0.8253765435312034
q4_no_negative_update,q4,16,20,20,1.0,318.4741540020361,325.9539201373318,353.5451258031385,20,0.930908582371103,0.29315962338950546
q4_no_rotation,q4,16,20,20,1.0,315.5968762947276,320.9809073503875,361.7184669728315,20,-1.9463691249373483,-0.6129461586767585
q4_no_trial_clear,q4,16,20,20,1.0,320.47589517847433,327.10445455134925,349.39676070682117,20,2.9326497588093616,0.9235434231748729
