policy,question,source_count,n_runs,n_accepted,completion_rate,mean_t_per_source_s,median_t_per_source_s,p90_t_per_source_s,max_t_per_source_s,mean_total_virtual_s,mean_move_distance_m,mean_measures,mean_switches,mean_clear_attempts
v1_frozen,q3,10,20,20,1.0,536.1123222669464,531.3149852239177,598.5712964828458,648.4255286111845,5361.123222669465,17537.116113347325,303.9,283.3,10.3
v1_frozen,q3,13,20,20,1.0,441.53867389839445,432.54821614848674,491.38332808437974,508.72381284492866,5740.002760679128,19361.26380339564,304.1,280.9,13.45
v1_frozen,q3,16,20,20,1.0,364.8321397497724,358.1128181883489,427.237299350297,500.50334575357203,5837.314235996359,20368.3211799818,284.3,260.65,16.5
v1_frozen,q4,10,20,20,1.0,1395.0891595703515,1388.359350675437,1761.9739823646823,1813.371162364362,13950.891595703515,47736.95797851746,721.0,635.85,47.55
v1_frozen,q4,13,20,20,1.0,1106.0846128227402,1073.4933450995431,1374.8152871690982,1440.9618684863779,14379.099966695623,50880.499833477996,685.9,599.45,49.35
v1_frozen,q4,16,20,20,1.0,857.157332193318,822.6776746558675,984.7581387764576,1195.050472444027,13714.517315093088,51694.58657546535,549.5,470.25,41.95
v2_final,q3,10,20,20,1.0,274.7280063926024,279.07360348244345,296.5400014728505,299.1324615647329,2747.2800639260245,9926.900319630122,119.1,114.0,10.8
v2_final,q3,13,20,20,1.0,226.5371233274772,226.92658828535144,243.27510836342196,261.8575857049762,2944.9826032572037,11054.163016286018,112.0,106.3,13.95
v2_final,q3,16,20,20,1.0,197.22840682216366,195.63590261820053,215.42415368125583,229.64423579840457,3155.6545091546186,12205.272545773094,106.2,99.25,17.45
v2_final,q4,10,20,20,1.0,590.3498377047417,584.8620622001304,627.2059144812055,643.2647210137787,5903.498377047417,20683.241885237087,288.0,272.95,11.3
v2_final,q4,13,20,20,1.0,456.94408648947103,451.539325662146,492.03581397121616,502.689773829176,5940.273124363122,21929.115621815617,250.05,234.4,14.6
v2_final,q4,16,20,20,1.0,317.54324541966497,325.2994914105915,346.89989752060615,360.5925921686216,5080.6919267146395,19590.7096335732,182.3,165.8,17.75
