kind,variant_id,question,case_id,case_hash,case_seed,source_count,accepted,verifier_all_ok,cleared_count,sources_total,t_per_source_s,T_total_virtual,T_move,T_measure,T_switch,T_clear,n_measures,n_switches,n_clear_attempts,parameter_sha256,parameters_json,metrics_path
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950020,70903a6bfebcaa4b096857a60679307ae6d82a3c041b5aa4ae2b70a05a39aa70,950020,13,True,True,13,13,228.0343288908139,2964.4462755805807,2231.4462755805807,560.0,108.0,65.0,112,108,13,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950020/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950021,eb5d84fdb59eaaf9c36ff84feb35cf2ded44221b5089617ef57c0ecb4d7f8e9f,950021,13,True,True,13,13,201.11242334978925,2614.4615035472602,1931.4615035472602,510.0,99.0,74.0,102,99,16,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950021/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950022,0d75e310c9bf1eeb0b68ee8d82ba0f1570d7caf28c78a6bf4fd90640531c6107,950022,13,True,True,13,13,231.5201074723764,3009.761397140893,2261.7613971408928,570.0,110.0,68.0,114,110,14,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950022/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950023,fe2eab14b6758d61a682e3f930a899279e395f680cfd064f33bf6bc6eff1f72d,950023,13,True,True,13,13,232.8981399507193,3027.675819359351,2306.6758193593505,545.0,105.0,71.0,109,105,15,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950023/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950024,fb69bbba3213a340a8a3e636f1f3cec6137ad3809b541867d67c46a205e9333c,950024,13,True,True,13,13,221.5953934392095,2880.7401147097235,2184.7401147097235,525.0,100.0,71.0,105,100,15,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950024/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950025,1ba92005a53f040c7a946c834e2f50455ebf773d06c969461550db1e8d62ed16,950025,13,True,True,13,13,214.2094718133815,2784.7231335739593,2079.7231335739593,540.0,100.0,65.0,108,100,13,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950025/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950026,cf57e3a436e6a22d8dd064312a321d0aaad781db2d9ea775c6db634bb6d5051d,950026,13,True,True,13,13,226.88375002912406,2949.4887503786126,2183.4887503786135,585.0,110.0,71.0,117,110,15,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950026/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950027,a8aec3feeca6bcf07d63a6305b6d779421822d47f61de17364a0c57468a559ad,950027,13,True,True,13,13,243.50337837912272,3165.5439189285953,2395.5439189285958,590.0,109.0,71.0,118,109,15,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950027/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950028,9b342acbb9254d3046ce702ec0945ff7d4a70f85b4f65c0623c4396731b26cba,950028,13,True,True,13,13,219.5896661899321,2854.6656604691175,2124.6656604691166,560.0,105.0,65.0,112,105,13,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950028/metrics.json
tuning,q3_planning_radius_1000,q3,paper_q3_n13_s950029,5d5188ceb7e1d95c186f04db045638fee53dfb1b16ca90f136fbd3edff28b62b,950029,13,True,True,13,13,212.4309801492541,2761.6027419403035,2031.6027419403035,555.0,107.0,68.0,111,107,14,9d2fc229d086153d5f5dab8e0fa137fe33e397cfa583d7296e43ab3172d7f953,"{""advance"": 0.25, ""arc_scan"": 0, ""commit"": false, ""estimate"": ""circle"", ""exact_positive"": false, ""info_points"": false, ""offset"": 0.1, ""planning_radius"": 1000, ""probe"": 250, ""probe_count"": 1, ""rotation"": 0.0, ""route_mode"": ""joint"", ""share_at_search"": true, ""share_during"": false, ""share_ratio"": 0.7, ""site_bonus"": 0.0, ""site_passes"": 1, ""sweep_advance"": 0.0, ""trial_limit"": 12, ""trial_radius"": 40, ""unknown_scan"": false}",tuning/q3_planning_radius_1000/q3/paper_q3_n13_s950029/metrics.json
