variant_id,question,source_count,n_runs,n_accepted,acceptance_rate,mean_t_per_source_s,median_t_per_source_s,p90_t_per_source_s
q3_planning_radius_1000,q3,13,10,10,1.0,223.17776396637228,224.23957173416676,233.95866379355962
q3_planning_radius_1500,q3,13,10,10,1.0,223.61705203302284,224.49415999741302,233.90971988930644
q3_planning_radius_1800,q3,13,10,10,1.0,224.5747467334614,224.52621057423644,243.71669035220629
q3_probe_150,q3,13,10,10,1.0,226.29081763199514,227.16300413667113,243.27568628562665
q3_probe_250,q3,13,10,10,1.0,223.61705203302284,224.49415999741302,233.90971988930644
q3_probe_350,q3,13,10,10,1.0,224.25790233759403,225.34644205892914,233.6443334772282
q3_share_ratio_0p5,q3,13,10,10,1.0,222.32070257022573,223.50379745320532,231.91808645947202
q3_share_ratio_0p7,q3,13,10,10,1.0,223.61705203302284,224.49415999741302,233.90971988930644
q3_share_ratio_0p9,q3,13,10,10,1.0,225.31711345399813,226.6982022626151,235.8044179818914
q3_trial_radius_20,q3,13,10,10,1.0,225.56319269186847,228.180666468776,235.43591707134087
q3_trial_radius_40,q3,13,10,10,1.0,223.61705203302284,224.49415999741302,233.90971988930644
q3_trial_radius_60,q3,13,10,10,1.0,223.4321994926482,224.1953927398099,233.67601890181015
q4_crossbar_fraction_0p15,q4,13,10,10,1.0,463.62414387234355,455.5587228387499,495.8134868961955
q4_crossbar_fraction_0p25,q4,13,10,10,1.0,461.3173555631703,453.9162942741777,492.03581397121616
q4_crossbar_fraction_0p4,q4,13,10,10,1.0,467.1523778813524,459.2438738499101,497.63146045381905
q4_crossbar_offset_0p02,q4,13,10,10,1.0,462.9028440824028,455.314341879009,490.31818438719586
q4_crossbar_offset_0p03,q4,13,10,10,1.0,461.3173555631703,453.9162942741777,492.03581397121616
q4_crossbar_offset_0p05,q4,13,10,10,1.0,459.0850391344035,454.1666840628665,485.9939954585276
q4_initial_rotation_steps_12,q4,13,10,10,1.0,461.3173555631703,453.9162942741777,492.03581397121616
q4_initial_rotation_steps_18,q4,13,10,10,1.0,467.901327292358,456.63655996492463,495.3888401250656
q4_initial_rotation_steps_6,q4,13,10,10,1.0,464.5602758467109,451.7313610651245,494.82407151034465
q4_radio_limit_12,q4,13,10,10,1.0,461.3173555631703,453.9162942741777,492.03581397121616
q4_radio_limit_16,q4,13,10,10,1.0,461.3173555631703,453.9162942741777,492.03581397121616
q4_radio_limit_8,q4,13,10,10,1.0,461.3173555631703,453.9162942741777,492.03581397121616
q4_trial_radius_20p0,q4,13,10,10,1.0,464.95304685348685,458.2074920860125,495.7608142709345
q4_trial_radius_40p0,q4,13,10,10,1.0,461.3173555631703,453.9162942741777,492.03581397121616
q4_trial_radius_60p0,q4,13,10,10,1.0,460.14487314210555,452.08290806757526,491.1879427932053
