sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,direction,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,direction,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,direction,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,direction,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,direction,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,direction,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,no_signal,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,no_signal,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,direction,0.0,1.0,5.0,113.0,119.0
22,/measure,-250.0,3.061616997868383e-14,1,direction,50.0,1.0,5.0,119.0,175.0
23,/measure,-250.0,3.061616997868383e-14,3,direction,0.0,1.0,5.0,175.0,181.0
24,/measure,-250.0,3.061616997868383e-14,5,direction,0.0,1.0,5.0,181.0,187.0
25,/measure,-250.0,3.061616997868383e-14,6,direction,0.0,1.0,5.0,187.0,193.0
26,/measure,-250.0,3.061616997868383e-14,8,direction,0.0,1.0,5.0,193.0,199.0
27,/measure,-250.0,3.061616997868383e-14,10,direction,0.0,1.0,5.0,199.0,205.0
28,/measure,-250.0,3.061616997868383e-14,20,direction,0.0,1.0,5.0,205.0,211.0
29,/clear,-415.04587891757023,-191.1250018787988,6,success,50.505013014885606,0.0,5.0,211.0,266.5050130148856
30,/measure,-415.04587891757023,-191.1250018787988,1,direction,0.0,1.0,5.0,266.5050130148856,272.5050130148856
31,/measure,-415.04587891757023,-191.1250018787988,3,direction,0.0,1.0,5.0,272.5050130148856,278.5050130148856
32,/measure,-415.04587891757023,-191.1250018787988,5,direction,0.0,1.0,5.0,278.5050130148856,284.5050130148856
33,/measure,-415.04587891757023,-191.1250018787988,8,direction,0.0,1.0,5.0,284.5050130148856,290.5050130148856
34,/clear,-455.71486888414546,-649.4785468360993,1,success,92.03085111414009,0.0,5.0,290.5050130148856,387.5358641290257
35,/measure,-455.71486888414546,-649.4785468360993,3,direction,0.0,1.0,5.0,387.5358641290257,393.5358641290257
36,/measure,-455.71486888414546,-649.4785468360993,5,direction,0.0,1.0,5.0,393.5358641290257,399.5358641290257
37,/measure,-455.71486888414546,-649.4785468360993,10,direction,0.0,1.0,5.0,399.5358641290257,405.5358641290257
38,/measure,-573.2069571329823,-992.8235730062803,2,no_signal,72.57828815751299,1.0,5.0,405.5358641290257,484.1141522865387
39,/measure,-573.2069571329823,-992.8235730062803,4,direction,0.0,1.0,5.0,484.1141522865387,490.1141522865387
40,/measure,-573.2069571329823,-992.8235730062803,7,no_signal,0.0,1.0,5.0,490.1141522865387,496.1141522865387
41,/measure,-573.2069571329823,-992.8235730062803,9,no_signal,0.0,1.0,5.0,496.1141522865387,502.1141522865387
42,/measure,-573.2069571329823,-992.8235730062803,11,no_signal,0.0,1.0,5.0,502.1141522865387,508.1141522865387
43,/measure,-573.2069571329823,-992.8235730062803,12,direction,0.0,1.0,5.0,508.1141522865387,514.1141522865387
44,/measure,-573.2069571329823,-992.8235730062803,13,no_signal,0.0,1.0,5.0,514.1141522865387,520.1141522865387
45,/measure,-573.2069571329823,-992.8235730062803,14,no_signal,0.0,1.0,5.0,520.1141522865387,526.1141522865387
46,/measure,-573.2069571329823,-992.8235730062803,15,no_signal,0.0,1.0,5.0,526.1141522865387,532.1141522865387
47,/measure,-573.2069571329823,-992.8235730062803,16,no_signal,0.0,1.0,5.0,532.1141522865387,538.1141522865387
48,/measure,-573.2069571329823,-992.8235730062803,17,no_signal,0.0,1.0,5.0,538.1141522865387,544.1141522865387
49,/measure,-573.2069571329823,-992.8235730062803,18,no_signal,0.0,1.0,5.0,544.1141522865387,550.1141522865387
50,/measure,-573.2069571329823,-992.8235730062803,19,no_signal,0.0,1.0,5.0,550.1141522865387,556.1141522865387
51,/measure,-573.2069571329823,-992.8235730062803,3,direction,0.0,1.0,5.0,556.1141522865387,562.1141522865387
52,/measure,-729.9149706136155,-1187.8851995727168,4,direction,50.04255774749738,1.0,5.0,562.1141522865387,618.1567100340361
53,/measure,-807.1729207940022,-1388.8701653382636,4,direction,43.064485288856346,0.0,5.0,618.1567100340361,666.2211953228924
54,/clear,-807.1729207940022,-1388.8701653382636,4,success,0.0,0.0,5.0,666.2211953228924,671.2211953228924
55,/measure,-807.1729207940022,-1388.8701653382636,12,direction,0.0,1.0,5.0,671.2211953228924,677.2211953228924
56,/clear,260.76649522140326,-1135.881941962322,3,success,219.49921525565787,0.0,5.0,677.2211953228924,901.7204105785503
57,/measure,260.76649522140326,-1135.881941962322,10,direction,0.0,1.0,5.0,901.7204105785503,907.7204105785503
