sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,direction,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,direction,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,no_signal,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,direction,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,no_signal,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,direction,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,direction,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,direction,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,no_signal,0.0,1.0,5.0,113.0,119.0
22,/measure,-150.0,1.8369701987210297e-14,3,direction,30.0,1.0,5.0,119.0,155.0
23,/measure,-150.0,1.8369701987210297e-14,5,no_signal,0.0,1.0,5.0,155.0,161.0
24,/measure,-150.0,1.8369701987210297e-14,10,direction,0.0,1.0,5.0,161.0,167.0
25,/measure,-150.0,1.8369701987210297e-14,15,direction,0.0,1.0,5.0,167.0,173.0
26,/measure,-150.0,1.8369701987210297e-14,17,direction,0.0,1.0,5.0,173.0,179.0
27,/measure,-150.0,1.8369701987210297e-14,19,direction,0.0,1.0,5.0,179.0,185.0
28,/measure,-222.53426450859126,724.4665328370054,3,direction,145.61771550586474,1.0,5.0,185.0,336.61771550586474
29,/clear,-214.76225743249094,743.345227492342,3,success,4.083181141611963,0.0,5.0,336.61771550586474,345.7008966474767
30,/measure,-214.76225743249094,743.345227492342,10,direction,0.0,1.0,5.0,345.7008966474767,351.7008966474767
31,/measure,-214.76225743249094,743.345227492342,15,no_signal,0.0,1.0,5.0,351.7008966474767,357.7008966474767
32,/measure,-214.76225743249094,743.345227492342,17,direction,0.0,1.0,5.0,357.7008966474767,363.7008966474767
33,/measure,-573.2069571329816,992.82357300628,1,no_signal,87.34347087762123,1.0,5.0,363.7008966474767,457.044367525098
34,/measure,-573.2069571329816,992.82357300628,2,direction,0.0,1.0,5.0,457.044367525098,463.044367525098
35,/measure,-573.2069571329816,992.82357300628,4,no_signal,0.0,1.0,5.0,463.044367525098,469.044367525098
36,/measure,-573.2069571329816,992.82357300628,6,no_signal,0.0,1.0,5.0,469.044367525098,475.044367525098
37,/measure,-573.2069571329816,992.82357300628,7,no_signal,0.0,1.0,5.0,475.044367525098,481.044367525098
38,/measure,-573.2069571329816,992.82357300628,8,direction,0.0,1.0,5.0,481.044367525098,487.044367525098
39,/measure,-573.2069571329816,992.82357300628,9,no_signal,0.0,1.0,5.0,487.044367525098,493.044367525098
40,/measure,-573.2069571329816,992.82357300628,11,no_signal,0.0,1.0,5.0,493.044367525098,499.044367525098
41,/measure,-573.2069571329816,992.82357300628,12,no_signal,0.0,1.0,5.0,499.044367525098,505.044367525098
42,/measure,-573.2069571329816,992.82357300628,13,direction,0.0,1.0,5.0,505.044367525098,511.044367525098
43,/measure,-573.2069571329816,992.82357300628,14,no_signal,0.0,1.0,5.0,511.044367525098,517.044367525098
44,/measure,-573.2069571329816,992.82357300628,16,no_signal,0.0,1.0,5.0,517.044367525098,523.044367525098
45,/measure,-573.2069571329816,992.82357300628,18,no_signal,0.0,1.0,5.0,523.044367525098,529.044367525098
46,/measure,-573.2069571329816,992.82357300628,20,no_signal,0.0,1.0,5.0,529.044367525098,535.044367525098
47,/measure,-573.2069571329816,992.82357300628,10,direction,0.0,1.0,5.0,535.044367525098,541.044367525098
48,/measure,-579.914381964109,1254.4749285295063,2,direction,52.347462744628615,1.0,5.0,541.044367525098,599.3918302697266
49,/clear,-636.8172544409011,1375.1879241088718,2,success,26.690495834925194,0.0,5.0,599.3918302697266,631.0823261046518
50,/measure,-636.8172544409011,1375.1879241088718,8,direction,0.0,1.0,5.0,631.0823261046518,637.0823261046518
51,/measure,-636.8172544409011,1375.1879241088718,13,direction,0.0,1.0,5.0,637.0823261046518,643.0823261046518
52,/measure,-687.8602446918742,1509.9443876080343,13,direction,28.81991763247219,0.0,5.0,643.0823261046518,676.902243737124
53,/clear,-710.8051602054261,1550.6235404649044,13,success,9.340797878289928,0.0,5.0,676.902243737124,691.2430416154139
54,/clear,-703.1700035690232,880.4103946794974,10,success,134.05132694612666,0.0,5.0,691.2430416154139,830.2943685615405
55,/measure,-703.1700035690232,880.4103946794974,15,no_signal,0.0,1.0,5.0,830.2943685615405,836.2943685615405
56,/clear,-649.2253627126934,333.8336595428553,17,success,109.84646588211191,0.0,5.0,836.2943685615405,951.1408344436525
57,/measure,-649.2253627126934,333.8336595428553,8,direction,0.0,1.0,5.0,951.1408344436525,957.1408344436525
58,/measure,-649.2253627126934,333.8336595428553,15,direction,0.0,1.0,5.0,957.1408344436525,963.1408344436525
59,/measure,-649.2253627126934,333.8336595428553,19,direction,0.0,1.0,5.0,963.1408344436525,969.1408344436525
60,/clear,-1432.04328086318,441.8402048121143,8,success,158.04674078239796,0.0,5.0,969.1408344436525,1132.1875752260505
61,/measure,-1146.4139142659635,1.3242147253274636e-13,1,direction,105.22488330259873,1.0,5.0,1132.1875752260505,1243.4124585286493
62,/measure,-1146.4139142659635,1.3242147253274636e-13,4,no_signal,0.0,1.0,5.0,1243.4124585286493,1249.4124585286493
