sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,direction,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,direction,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,direction,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,direction,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,direction,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,direction,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,no_signal,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,no_signal,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,direction,0.0,1.0,5.0,113.0,119.0
22,/measure,-250.0,3.061616997868383e-14,1,direction,50.0,1.0,5.0,119.0,175.0
23,/measure,-250.0,3.061616997868383e-14,3,direction,0.0,1.0,5.0,175.0,181.0
24,/measure,-250.0,3.061616997868383e-14,5,direction,0.0,1.0,5.0,181.0,187.0
25,/measure,-250.0,3.061616997868383e-14,6,direction,0.0,1.0,5.0,187.0,193.0
26,/measure,-250.0,3.061616997868383e-14,8,direction,0.0,1.0,5.0,193.0,199.0
27,/measure,-250.0,3.061616997868383e-14,10,direction,0.0,1.0,5.0,199.0,205.0
28,/measure,-250.0,3.061616997868383e-14,20,direction,0.0,1.0,5.0,205.0,211.0
29,/clear,-415.04587891757023,-191.1250018787988,6,success,50.505013014885606,0.0,5.0,211.0,266.5050130148856
30,/measure,-415.04587891757023,-191.1250018787988,8,direction,0.0,1.0,5.0,266.5050130148856,272.5050130148856
31,/measure,-494.0435121078051,-698.2807050287742,1,direction,102.65428062914957,1.0,5.0,272.5050130148856,381.1592936440352
32,/clear,-483.1669850073935,-683.9384193589757,1,no_target_in_range,3.60000000000052,0.0,3.0,381.1592936440352,387.7592936440357
33,/measure,-483.1669850073935,-683.9384193589757,3,direction,0.0,1.0,5.0,387.7592936440357,393.7592936440357
34,/measure,-483.1669850073935,-683.9384193589757,5,direction,0.0,1.0,5.0,393.7592936440357,399.7592936440357
35,/measure,-483.1669850073935,-683.9384193589757,10,direction,0.0,1.0,5.0,399.7592936440357,405.7592936440357
36,/clear,-466.85363169053323,-662.4268861882531,1,success,5.399524259768874,0.0,5.0,405.7592936440357,416.1588179038046
37,/measure,-576.0017563494494,-1018.8180530282707,2,no_signal,74.54608693101136,1.0,5.0,416.1588179038046,496.704904834816
38,/measure,-576.0017563494494,-1018.8180530282707,4,direction,0.0,1.0,5.0,496.704904834816,502.704904834816
39,/measure,-576.0017563494494,-1018.8180530282707,7,no_signal,0.0,1.0,5.0,502.704904834816,508.704904834816
40,/measure,-576.0017563494494,-1018.8180530282707,9,no_signal,0.0,1.0,5.0,508.704904834816,514.704904834816
41,/measure,-576.0017563494494,-1018.8180530282707,11,no_signal,0.0,1.0,5.0,514.704904834816,520.704904834816
42,/measure,-576.0017563494494,-1018.8180530282707,12,direction,0.0,1.0,5.0,520.704904834816,526.704904834816
43,/measure,-576.0017563494494,-1018.8180530282707,13,no_signal,0.0,1.0,5.0,526.704904834816,532.704904834816
44,/measure,-576.0017563494494,-1018.8180530282707,14,no_signal,0.0,1.0,5.0,532.704904834816,538.704904834816
45,/measure,-576.0017563494494,-1018.8180530282707,15,no_signal,0.0,1.0,5.0,538.704904834816,544.704904834816
46,/measure,-576.0017563494494,-1018.8180530282707,16,no_signal,0.0,1.0,5.0,544.704904834816,550.704904834816
47,/measure,-576.0017563494494,-1018.8180530282707,17,no_signal,0.0,1.0,5.0,550.704904834816,556.704904834816
48,/measure,-576.0017563494494,-1018.8180530282707,18,no_signal,0.0,1.0,5.0,556.704904834816,562.704904834816
49,/measure,-576.0017563494494,-1018.8180530282707,19,no_signal,0.0,1.0,5.0,562.704904834816,568.704904834816
50,/measure,-733.5408546226053,-1202.0545330602172,4,direction,48.329773473177795,1.0,5.0,568.704904834816,623.0346783079938
51,/measure,-797.714141415864,-1371.5969205057631,4,direction,36.25621705505717,0.0,5.0,623.0346783079938,664.2908953630509
52,/clear,-799.4416725930494,-1377.2739882988728,4,success,1.1868186499328515,0.0,5.0,664.2908953630509,670.4777140129838
53,/measure,-799.4416725930494,-1377.2739882988728,12,direction,0.0,1.0,5.0,670.4777140129838,676.4777140129838
54,/clear,256.4474254680793,-1119.4545670641533,3,success,217.3819349780611,0.0,5.0,676.4777140129838,898.8596489910449
55,/measure,256.4474254680793,-1119.4545670641533,10,direction,0.0,1.0,5.0,898.8596489910449,904.8596489910449
56,/measure,577.2050602729255,-1028.3580563908204,2,no_signal,66.68854010771437,1.0,5.0,904.8596489910449,977.5481890987593
57,/measure,577.2050602729255,-1028.3580563908204,7,no_signal,0.0,1.0,5.0,977.5481890987593,983.5481890987593
