sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,direction,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,direction,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,direction,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,direction,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,direction,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,direction,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,direction,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,direction,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,direction,0.0,1.0,5.0,113.0,119.0
22,/measure,-4.5924254968025744e-14,-250.0,1,direction,50.0,1.0,5.0,119.0,175.0
23,/measure,-4.5924254968025744e-14,-250.0,2,direction,0.0,1.0,5.0,175.0,181.0
24,/measure,-4.5924254968025744e-14,-250.0,5,direction,0.0,1.0,5.0,181.0,187.0
25,/measure,-4.5924254968025744e-14,-250.0,6,direction,0.0,1.0,5.0,187.0,193.0
26,/measure,-4.5924254968025744e-14,-250.0,10,direction,0.0,1.0,5.0,193.0,199.0
27,/measure,-4.5924254968025744e-14,-250.0,12,direction,0.0,1.0,5.0,199.0,205.0
28,/measure,-4.5924254968025744e-14,-250.0,16,direction,0.0,1.0,5.0,205.0,211.0
29,/measure,-4.5924254968025744e-14,-250.0,19,direction,0.0,1.0,5.0,211.0,217.0
30,/measure,-4.5924254968025744e-14,-250.0,20,direction,0.0,1.0,5.0,217.0,223.0
31,/clear,-77.56501002680982,27.713079786141655,2,success,57.6683224880915,0.0,5.0,223.0,285.6683224880915
32,/clear,-170.86525419001958,217.78350133522287,19,no_target_in_range,42.34699550558929,0.0,3.0,285.6683224880915,331.0153179936808
33,/measure,-170.86525419001958,217.78350133522287,1,direction,0.0,1.0,5.0,331.0153179936808,337.0153179936808
34,/measure,-170.86525419001958,217.78350133522287,6,direction,0.0,1.0,5.0,337.0153179936808,343.0153179936808
35,/measure,-170.86525419001958,217.78350133522287,10,direction,0.0,1.0,5.0,343.0153179936808,349.0153179936808
36,/measure,-170.86525419001958,217.78350133522287,12,direction,0.0,1.0,5.0,349.0153179936808,355.0153179936808
37,/measure,-170.86525419001958,217.78350133522287,20,direction,0.0,1.0,5.0,355.0153179936808,361.0153179936808
38,/clear,-187.3842176106468,251.0257697660243,19,no_target_in_range,7.424081257414893,0.0,3.0,361.0153179936808,371.4393992510957
39,/measure,-187.3842176106468,251.0257697660243,16,direction,0.0,1.0,5.0,371.4393992510957,377.4393992510957
40,/clear,-201.91520510735984,271.4536543831712,19,success,5.013773299865477,0.0,5.0,377.4393992510957,387.4531725509612
41,/clear,-285.334151935974,239.62532914730224,1,success,17.85694596207919,0.0,5.0,387.4531725509612,410.3101185130404
42,/clear,-481.36773889271086,337.6829672002179,6,no_target_in_range,43.838096489533456,0.0,3.0,410.3101185130404,457.1482150025738
43,/measure,-481.36773889271086,337.6829672002179,10,direction,0.0,1.0,5.0,457.1482150025738,463.1482150025738
44,/measure,-481.36773889271086,337.6829672002179,12,direction,0.0,1.0,5.0,463.1482150025738,469.1482150025738
45,/measure,-481.36773889271086,337.6829672002179,20,direction,0.0,1.0,5.0,469.1482150025738,475.1482150025738
46,/clear,-514.7559963291537,353.2110536020753,6,success,7.364501889322133,0.0,5.0,475.1482150025738,487.51271689189593
47,/measure,-573.2069571329816,992.82357300628,3,no_signal,128.4555471433577,1.0,5.0,487.51271689189593,621.9682640352537
48,/measure,-573.2069571329816,992.82357300628,4,no_signal,0.0,1.0,5.0,621.9682640352537,627.9682640352537
49,/measure,-573.2069571329816,992.82357300628,7,no_signal,0.0,1.0,5.0,627.9682640352537,633.9682640352537
50,/measure,-573.2069571329816,992.82357300628,8,no_signal,0.0,1.0,5.0,633.9682640352537,639.9682640352537
51,/measure,-573.2069571329816,992.82357300628,9,no_signal,0.0,1.0,5.0,639.9682640352537,645.9682640352537
52,/measure,-573.2069571329816,992.82357300628,11,no_signal,0.0,1.0,5.0,645.9682640352537,651.9682640352537
53,/measure,-573.2069571329816,992.82357300628,13,no_signal,0.0,1.0,5.0,651.9682640352537,657.9682640352537
54,/measure,-573.2069571329816,992.82357300628,14,no_signal,0.0,1.0,5.0,657.9682640352537,663.9682640352537
55,/measure,-573.2069571329816,992.82357300628,15,no_signal,0.0,1.0,5.0,663.9682640352537,669.9682640352537
56,/measure,-573.2069571329816,992.82357300628,17,no_signal,0.0,1.0,5.0,669.9682640352537,675.9682640352537
57,/measure,-573.2069571329816,992.82357300628,18,direction,0.0,1.0,5.0,675.9682640352537,681.9682640352537
58,/measure,-357.80909119556145,1274.1910146437376,18,direction,70.86998740341443,0.0,5.0,681.9682640352537,757.8382514386681
