sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,no_signal,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,no_signal,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,no_signal,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,no_signal,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,no_signal,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,no_signal,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,direction,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,direction,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,no_signal,0.0,1.0,5.0,113.0,119.0
22,/measure,497.5,861.6952767655164,20,direction,198.99999999999997,0.0,5.0,119.0,323.0
23,/measure,497.5,861.6952767655164,1,no_signal,0.0,1.0,5.0,323.0,329.0
24,/measure,497.5,861.6952767655164,2,no_signal,0.0,1.0,5.0,329.0,335.0
25,/measure,497.5,861.6952767655164,3,no_signal,0.0,1.0,5.0,335.0,341.0
26,/measure,497.5,861.6952767655164,4,no_signal,0.0,1.0,5.0,341.0,347.0
27,/measure,497.5,861.6952767655164,5,no_signal,0.0,1.0,5.0,347.0,353.0
28,/measure,497.5,861.6952767655164,6,no_signal,0.0,1.0,5.0,353.0,359.0
29,/measure,497.5,861.6952767655164,7,no_signal,0.0,1.0,5.0,359.0,365.0
30,/measure,497.5,861.6952767655164,8,no_signal,0.0,1.0,5.0,365.0,371.0
31,/measure,497.5,861.6952767655164,9,no_signal,0.0,1.0,5.0,371.0,377.0
32,/measure,497.5,861.6952767655164,10,no_signal,0.0,1.0,5.0,377.0,383.0
33,/measure,497.5,861.6952767655164,11,no_signal,0.0,1.0,5.0,383.0,389.0
34,/measure,497.5,861.6952767655164,12,no_signal,0.0,1.0,5.0,389.0,395.0
35,/measure,497.5,861.6952767655164,13,no_signal,0.0,1.0,5.0,395.0,401.0
36,/measure,497.5,861.6952767655164,14,no_signal,0.0,1.0,5.0,401.0,407.0
37,/measure,497.5,861.6952767655164,15,no_signal,0.0,1.0,5.0,407.0,413.0
38,/measure,497.5,861.6952767655164,16,direction,0.0,1.0,5.0,413.0,419.0
39,/measure,497.5,861.6952767655164,18,no_signal,0.0,1.0,5.0,419.0,425.0
40,/measure,497.5,861.6952767655164,19,no_signal,0.0,1.0,5.0,425.0,431.0
41,/measure,-257.52494987700805,961.096197157623,1,no_signal,152.30800608130573,1.0,5.0,431.0,589.3080060813057
42,/measure,-257.52494987700805,961.096197157623,2,no_signal,0.0,1.0,5.0,589.3080060813057,595.3080060813057
43,/measure,-257.52494987700805,961.096197157623,3,no_signal,0.0,1.0,5.0,595.3080060813057,601.3080060813057
44,/measure,-257.52494987700805,961.096197157623,4,no_signal,0.0,1.0,5.0,601.3080060813057,607.3080060813057
45,/measure,-257.52494987700805,961.096197157623,5,no_signal,0.0,1.0,5.0,607.3080060813057,613.3080060813057
46,/measure,-257.52494987700805,961.096197157623,6,no_signal,0.0,1.0,5.0,613.3080060813057,619.3080060813057
47,/measure,-257.52494987700805,961.096197157623,7,no_signal,0.0,1.0,5.0,619.3080060813057,625.3080060813057
48,/measure,-257.52494987700805,961.096197157623,8,no_signal,0.0,1.0,5.0,625.3080060813057,631.3080060813057
49,/measure,-257.52494987700805,961.096197157623,9,no_signal,0.0,1.0,5.0,631.3080060813057,637.3080060813057
50,/measure,-257.52494987700805,961.096197157623,10,no_signal,0.0,1.0,5.0,637.3080060813057,643.3080060813057
51,/measure,-257.52494987700805,961.096197157623,11,no_signal,0.0,1.0,5.0,643.3080060813057,649.3080060813057
52,/measure,-257.52494987700805,961.096197157623,12,no_signal,0.0,1.0,5.0,649.3080060813057,655.3080060813057
53,/measure,-257.52494987700805,961.096197157623,13,direction,0.0,1.0,5.0,655.3080060813057,661.3080060813057
54,/measure,-257.52494987700805,961.096197157623,14,no_signal,0.0,1.0,5.0,661.3080060813057,667.3080060813057
55,/measure,-257.52494987700805,961.096197157623,15,no_signal,0.0,1.0,5.0,667.3080060813057,673.3080060813057
56,/measure,-257.52494987700805,961.096197157623,18,no_signal,0.0,1.0,5.0,673.3080060813057,679.3080060813057
57,/measure,-257.52494987700805,961.096197157623,20,direction,0.0,1.0,5.0,679.3080060813057,685.3080060813057
58,/measure,-595.342501699523,980.6451444346496,13,direction,67.6765423641006,1.0,5.0,685.3080060813057,758.9845484454063
59,/measure,-748.6659324410863,939.1274890860585,13,direction,31.769035314285095,0.0,5.0,758.9845484454063,795.7535837596914
60,/clear,-781.7688923226392,929.5222303844779,13,no_target_in_range,6.893669407924904,0.0,3.0,795.7535837596914,805.6472531676163
61,/clear,-814.3426748327975,919.9813955563784,13,success,6.78845736890545,0.0,5.0,805.6472531676163,817.4357105365218
62,/measure,-861.6952767655163,497.5,1,no_signal,85.0253605699061,1.0,5.0,817.4357105365218,908.4610711064279
63,/measure,-861.6952767655163,497.5,2,direction,0.0,1.0,5.0,908.4610711064279,914.4610711064279
64,/measure,-861.6952767655163,497.5,3,direction,0.0,1.0,5.0,914.4610711064279,920.4610711064279
65,/measure,-861.6952767655163,497.5,4,no_signal,0.0,1.0,5.0,920.4610711064279,926.4610711064279
