sequence,path,x,y,channel,result,movement_s,switch_s,operation_s,virtual_before_s,virtual_after_s
1,/enter,,,,success,0.0,0.0,0.0,0.0,0.0
2,/measure,0.0,0.0,1,no_signal,0.0,0.0,5.0,0.0,5.0
3,/measure,0.0,0.0,2,no_signal,0.0,1.0,5.0,5.0,11.0
4,/measure,0.0,0.0,3,no_signal,0.0,1.0,5.0,11.0,17.0
5,/measure,0.0,0.0,4,no_signal,0.0,1.0,5.0,17.0,23.0
6,/measure,0.0,0.0,5,no_signal,0.0,1.0,5.0,23.0,29.0
7,/measure,0.0,0.0,6,direction,0.0,1.0,5.0,29.0,35.0
8,/measure,0.0,0.0,7,no_signal,0.0,1.0,5.0,35.0,41.0
9,/measure,0.0,0.0,8,no_signal,0.0,1.0,5.0,41.0,47.0
10,/measure,0.0,0.0,9,direction,0.0,1.0,5.0,47.0,53.0
11,/measure,0.0,0.0,10,no_signal,0.0,1.0,5.0,53.0,59.0
12,/measure,0.0,0.0,11,direction,0.0,1.0,5.0,59.0,65.0
13,/measure,0.0,0.0,12,direction,0.0,1.0,5.0,65.0,71.0
14,/measure,0.0,0.0,13,no_signal,0.0,1.0,5.0,71.0,77.0
15,/measure,0.0,0.0,14,no_signal,0.0,1.0,5.0,77.0,83.0
16,/measure,0.0,0.0,15,no_signal,0.0,1.0,5.0,83.0,89.0
17,/measure,0.0,0.0,16,no_signal,0.0,1.0,5.0,89.0,95.0
18,/measure,0.0,0.0,17,no_signal,0.0,1.0,5.0,95.0,101.0
19,/measure,0.0,0.0,18,no_signal,0.0,1.0,5.0,101.0,107.0
20,/measure,0.0,0.0,19,no_signal,0.0,1.0,5.0,107.0,113.0
21,/measure,0.0,0.0,20,no_signal,0.0,1.0,5.0,113.0,119.0
22,/measure,0.0,995.0000000000001,20,no_signal,199.00000000000003,0.0,5.0,119.0,323.0
23,/measure,0.0,995.0000000000001,1,no_signal,0.0,1.0,5.0,323.0,329.0
24,/measure,0.0,995.0000000000001,2,no_signal,0.0,1.0,5.0,329.0,335.0
25,/measure,0.0,995.0000000000001,3,no_signal,0.0,1.0,5.0,335.0,341.0
26,/measure,0.0,995.0000000000001,4,no_signal,0.0,1.0,5.0,341.0,347.0
27,/measure,0.0,995.0000000000001,5,no_signal,0.0,1.0,5.0,347.0,353.0
28,/measure,0.0,995.0000000000001,7,direction,0.0,1.0,5.0,353.0,359.0
29,/measure,0.0,995.0000000000001,8,no_signal,0.0,1.0,5.0,359.0,365.0
30,/measure,0.0,995.0000000000001,10,no_signal,0.0,1.0,5.0,365.0,371.0
31,/measure,0.0,995.0000000000001,13,no_signal,0.0,1.0,5.0,371.0,377.0
32,/measure,0.0,995.0000000000001,14,no_signal,0.0,1.0,5.0,377.0,383.0
33,/measure,0.0,995.0000000000001,15,no_signal,0.0,1.0,5.0,383.0,389.0
34,/measure,0.0,995.0000000000001,16,no_signal,0.0,1.0,5.0,389.0,395.0
35,/measure,0.0,995.0000000000001,17,no_signal,0.0,1.0,5.0,395.0,401.0
36,/measure,0.0,995.0000000000001,18,no_signal,0.0,1.0,5.0,401.0,407.0
37,/measure,0.0,995.0000000000001,19,no_signal,0.0,1.0,5.0,407.0,413.0
38,/measure,0.0,995.0000000000001,6,no_signal,0.0,1.0,5.0,413.0,419.0
39,/measure,0.0,995.0000000000001,9,direction,0.0,1.0,5.0,419.0,425.0
40,/measure,0.0,995.0000000000001,11,direction,0.0,1.0,5.0,425.0,431.0
41,/measure,-259.26437205854626,1103.3924107929502,7,direction,56.202110044524105,1.0,5.0,431.0,493.2021100445241
42,/measure,-431.57403617875144,1241.7290828266987,7,direction,44.19396120674897,0.0,5.0,493.2021100445241,542.396071251273
43,/measure,-477.1131242721101,1274.8476270733386,7,direction,11.261698837016242,0.0,5.0,542.396071251273,558.6577700882892
44,/clear,-539.2338608837623,1310.4737069381201,7,success,14.3222951843705,0.0,5.0,558.6577700882892,577.9800652726598
45,/measure,-539.2338608837623,1310.4737069381201,6,no_signal,0.0,1.0,5.0,577.9800652726598,583.9800652726598
46,/measure,-703.5712472806148,703.5712472806148,1,no_signal,125.75171920989047,1.0,5.0,583.9800652726598,715.7317844825502
47,/measure,-703.5712472806148,703.5712472806148,2,no_signal,0.0,1.0,5.0,715.7317844825502,721.7317844825502
48,/measure,-703.5712472806148,703.5712472806148,3,no_signal,0.0,1.0,5.0,721.7317844825502,727.7317844825502
49,/measure,-703.5712472806148,703.5712472806148,4,no_signal,0.0,1.0,5.0,727.7317844825502,733.7317844825502
50,/measure,-703.5712472806148,703.5712472806148,5,direction,0.0,1.0,5.0,733.7317844825502,739.7317844825502
51,/measure,-703.5712472806148,703.5712472806148,8,no_signal,0.0,1.0,5.0,739.7317844825502,745.7317844825502
52,/measure,-703.5712472806148,703.5712472806148,10,no_signal,0.0,1.0,5.0,745.7317844825502,751.7317844825502
53,/measure,-703.5712472806148,703.5712472806148,13,no_signal,0.0,1.0,5.0,751.7317844825502,757.7317844825502
54,/measure,-703.5712472806148,703.5712472806148,14,no_signal,0.0,1.0,5.0,757.7317844825502,763.7317844825502
55,/measure,-703.5712472806148,703.5712472806148,15,no_signal,0.0,1.0,5.0,763.7317844825502,769.7317844825502
56,/measure,-703.5712472806148,703.5712472806148,16,no_signal,0.0,1.0,5.0,769.7317844825502,775.7317844825502
57,/measure,-703.5712472806148,703.5712472806148,17,direction,0.0,1.0,5.0,775.7317844825502,781.7317844825502
58,/measure,-703.5712472806148,703.5712472806148,18,no_signal,0.0,1.0,5.0,781.7317844825502,787.7317844825502
59,/measure,-703.5712472806148,703.5712472806148,19,no_signal,0.0,1.0,5.0,787.7317844825502,793.7317844825502
60,/measure,-703.5712472806148,703.5712472806148,20,no_signal,0.0,1.0,5.0,793.7317844825502,799.7317844825502
61,/measure,-703.5712472806148,703.5712472806148,6,no_signal,0.0,1.0,5.0,799.7317844825502,805.7317844825502
62,/measure,-448.5819743561025,419.94628225548473,5,direction,76.27913216393529,1.0,5.0,805.7317844825502,888.0109166464855
63,/clear,-406.72503445980476,442.9561299817442,5,success,9.552918946307306,0.0,5.0,888.0109166464855,902.5638355927928
64,/measure,-406.72503445980476,442.9561299817442,6,direction,0.0,1.0,5.0,902.5638355927928,908.5638355927928
65,/measure,-406.72503445980476,442.9561299817442,12,no_signal,0.0,1.0,5.0,908.5638355927928,914.5638355927928
