step,virtual_time_before,virtual_time_after,action_type,target_x,target_y,channel,policy_mode,reason_code,movement_distance,movement_time,switch_time,action_time
1,0.0,0.0,enter,,,,lifecycle,enter_exit,0.0,0.0,0.0,0.0
1,0.0,5.0,measure,0.0,0.0,1,certificate,coverage,0.0,0.0,0.0,5.0
1,5.0,11.0,measure,0.0,0.0,2,certificate,coverage,0.0,0.0,1.0,5.0
1,11.0,17.0,measure,0.0,0.0,3,certificate,coverage,0.0,0.0,1.0,5.0
1,17.0,23.0,measure,0.0,0.0,4,certificate,coverage,0.0,0.0,1.0,5.0
1,23.0,29.0,measure,0.0,0.0,5,certificate,coverage,0.0,0.0,1.0,5.0
1,29.0,35.0,measure,0.0,0.0,6,certificate,coverage,0.0,0.0,1.0,5.0
1,35.0,41.0,measure,0.0,0.0,7,certificate,coverage,0.0,0.0,1.0,5.0
1,41.0,47.0,measure,0.0,0.0,8,certificate,coverage,0.0,0.0,1.0,5.0
1,47.0,53.0,measure,0.0,0.0,9,certificate,coverage,0.0,0.0,1.0,5.0
1,53.0,59.0,measure,0.0,0.0,10,certificate,coverage,0.0,0.0,1.0,5.0
1,59.0,65.0,measure,0.0,0.0,11,certificate,coverage,0.0,0.0,1.0,5.0
1,65.0,71.0,measure,0.0,0.0,12,certificate,coverage,0.0,0.0,1.0,5.0
1,71.0,77.0,measure,0.0,0.0,13,certificate,coverage,0.0,0.0,1.0,5.0
1,77.0,83.0,measure,0.0,0.0,14,certificate,coverage,0.0,0.0,1.0,5.0
1,83.0,89.0,measure,0.0,0.0,15,certificate,coverage,0.0,0.0,1.0,5.0
1,89.0,95.0,measure,0.0,0.0,16,certificate,coverage,0.0,0.0,1.0,5.0
1,95.0,101.0,measure,0.0,0.0,17,certificate,coverage,0.0,0.0,1.0,5.0
1,101.0,107.0,measure,0.0,0.0,18,certificate,coverage,0.0,0.0,1.0,5.0
1,107.0,113.0,measure,0.0,0.0,19,certificate,coverage,0.0,0.0,1.0,5.0
1,113.0,119.0,measure,0.0,0.0,20,certificate,coverage,0.0,0.0,1.0,5.0
2,119.0,364.0,measure,1200.0,0.0,20,certificate,coverage,1200.0,240.0,0.0,5.0
2,364.0,370.0,measure,1200.0,0.0,1,certificate,coverage,0.0,0.0,1.0,5.0
2,370.0,376.0,measure,1200.0,0.0,2,certificate,coverage,0.0,0.0,1.0,5.0
2,376.0,382.0,measure,1200.0,0.0,3,certificate,coverage,0.0,0.0,1.0,5.0
2,382.0,388.0,measure,1200.0,0.0,5,certificate,coverage,0.0,0.0,1.0,5.0
2,388.0,394.0,measure,1200.0,0.0,6,certificate,coverage,0.0,0.0,1.0,5.0
2,394.0,400.0,measure,1200.0,0.0,7,certificate,coverage,0.0,0.0,1.0,5.0
2,400.0,406.0,measure,1200.0,0.0,8,certificate,coverage,0.0,0.0,1.0,5.0
2,406.0,412.0,measure,1200.0,0.0,10,certificate,coverage,0.0,0.0,1.0,5.0
2,412.0,418.0,measure,1200.0,0.0,11,certificate,coverage,0.0,0.0,1.0,5.0
2,418.0,424.0,measure,1200.0,0.0,13,certificate,coverage,0.0,0.0,1.0,5.0
2,424.0,430.0,measure,1200.0,0.0,14,certificate,coverage,0.0,0.0,1.0,5.0
2,430.0,436.0,measure,1200.0,0.0,15,certificate,coverage,0.0,0.0,1.0,5.0
2,436.0,442.0,measure,1200.0,0.0,16,certificate,coverage,0.0,0.0,1.0,5.0
2,442.0,448.0,measure,1200.0,0.0,17,certificate,coverage,0.0,0.0,1.0,5.0
2,448.0,454.0,measure,1200.0,0.0,18,certificate,coverage,0.0,0.0,1.0,5.0
3,454.0,700.0,measure,600.0000000000001,1039.2304845413264,1,certificate,coverage,1200.0,240.0,1.0,5.0
3,700.0,706.0,measure,600.0000000000001,1039.2304845413264,2,certificate,coverage,0.0,0.0,1.0,5.0
