step,virtual_time,x,y,channel,result,bearing_deg,status_before,status_after,svd_deg
1,5.0,0.0,0.0,1,no_signal,,UNKNOWN,UNKNOWN,
1,11.0,0.0,0.0,2,no_signal,,UNKNOWN,UNKNOWN,
1,17.0,0.0,0.0,3,no_signal,,UNKNOWN,UNKNOWN,
1,23.0,0.0,0.0,4,direction,40.79,UNKNOWN,ACTIVE,40.79
1,29.0,0.0,0.0,5,no_signal,,UNKNOWN,UNKNOWN,
1,35.0,0.0,0.0,6,no_signal,,UNKNOWN,UNKNOWN,
1,41.0,0.0,0.0,7,no_signal,,UNKNOWN,UNKNOWN,
1,47.0,0.0,0.0,8,no_signal,,UNKNOWN,UNKNOWN,
1,53.0,0.0,0.0,9,direction,155.76,UNKNOWN,ACTIVE,155.76
1,59.0,0.0,0.0,10,no_signal,,UNKNOWN,UNKNOWN,
1,65.0,0.0,0.0,11,no_signal,,UNKNOWN,UNKNOWN,
1,71.0,0.0,0.0,12,direction,32.89,UNKNOWN,ACTIVE,32.89
1,77.0,0.0,0.0,13,no_signal,,UNKNOWN,UNKNOWN,
1,83.0,0.0,0.0,14,no_signal,,UNKNOWN,UNKNOWN,
1,89.0,0.0,0.0,15,no_signal,,UNKNOWN,UNKNOWN,
1,95.0,0.0,0.0,16,no_signal,,UNKNOWN,UNKNOWN,
1,101.0,0.0,0.0,17,no_signal,,UNKNOWN,UNKNOWN,
1,107.0,0.0,0.0,18,no_signal,,UNKNOWN,UNKNOWN,
1,113.0,0.0,0.0,19,direction,104.77,UNKNOWN,ACTIVE,104.77
1,119.0,0.0,0.0,20,no_signal,,UNKNOWN,UNKNOWN,
2,364.0,1200.0,0.0,20,no_signal,,UNKNOWN,UNKNOWN,
2,370.0,1200.0,0.0,1,no_signal,,UNKNOWN,UNKNOWN,
2,376.0,1200.0,0.0,2,no_signal,,UNKNOWN,UNKNOWN,
2,382.0,1200.0,0.0,3,no_signal,,UNKNOWN,UNKNOWN,
2,388.0,1200.0,0.0,5,no_signal,,UNKNOWN,UNKNOWN,
2,394.0,1200.0,0.0,6,no_signal,,UNKNOWN,UNKNOWN,
2,400.0,1200.0,0.0,7,no_signal,,UNKNOWN,UNKNOWN,
2,406.0,1200.0,0.0,8,no_signal,,UNKNOWN,UNKNOWN,
2,412.0,1200.0,0.0,10,no_signal,,UNKNOWN,UNKNOWN,
2,418.0,1200.0,0.0,11,no_signal,,UNKNOWN,UNKNOWN,
2,424.0,1200.0,0.0,13,no_signal,,UNKNOWN,UNKNOWN,
2,430.0,1200.0,0.0,14,no_signal,,UNKNOWN,UNKNOWN,
2,436.0,1200.0,0.0,15,no_signal,,UNKNOWN,UNKNOWN,
2,442.0,1200.0,0.0,16,no_signal,,UNKNOWN,UNKNOWN,
2,448.0,1200.0,0.0,17,no_signal,,UNKNOWN,UNKNOWN,
2,454.0,1200.0,0.0,18,direction,62.09,UNKNOWN,ACTIVE,62.09
3,700.0,600.0000000000001,1039.2304845413264,1,direction,176.67,UNKNOWN,ACTIVE,176.67
3,706.0,600.0000000000001,1039.2304845413264,2,no_signal,,UNKNOWN,UNKNOWN,
3,712.0,600.0000000000001,1039.2304845413264,3,no_signal,,UNKNOWN,UNKNOWN,
3,718.0,600.0000000000001,1039.2304845413264,5,no_signal,,UNKNOWN,UNKNOWN,
3,724.0,600.0000000000001,1039.2304845413264,6,no_signal,,UNKNOWN,UNKNOWN,
3,730.0,600.0000000000001,1039.2304845413264,7,direction,120.41,UNKNOWN,ACTIVE,120.41
3,736.0,600.0000000000001,1039.2304845413264,8,no_signal,,UNKNOWN,UNKNOWN,
3,742.0,600.0000000000001,1039.2304845413264,10,no_signal,,UNKNOWN,UNKNOWN,
3,748.0,600.0000000000001,1039.2304845413264,11,no_signal,,UNKNOWN,UNKNOWN,
3,754.0,600.0000000000001,1039.2304845413264,13,no_signal,,UNKNOWN,UNKNOWN,
3,760.0,600.0000000000001,1039.2304845413264,14,no_signal,,UNKNOWN,UNKNOWN,
3,766.0,600.0000000000001,1039.2304845413264,15,no_signal,,UNKNOWN,UNKNOWN,
3,772.0,600.0000000000001,1039.2304845413264,16,no_signal,,UNKNOWN,UNKNOWN,
3,778.0,600.0000000000001,1039.2304845413264,17,no_signal,,UNKNOWN,UNKNOWN,
3,784.0,600.0000000000001,1039.2304845413264,20,no_signal,,UNKNOWN,UNKNOWN,
4,1029.0,-599.9999999999998,1039.2304845413264,20,no_signal,,UNKNOWN,UNKNOWN,
4,1035.0,-599.9999999999998,1039.2304845413264,2,no_signal,,UNKNOWN,UNKNOWN,
4,1041.0,-599.9999999999998,1039.2304845413264,3,no_signal,,UNKNOWN,UNKNOWN,
4,1047.0,-599.9999999999998,1039.2304845413264,5,no_signal,,UNKNOWN,UNKNOWN,
4,1053.0,-599.9999999999998,1039.2304845413264,6,no_signal,,UNKNOWN,UNKNOWN,
4,1059.0,-599.9999999999998,1039.2304845413264,8,no_signal,,UNKNOWN,UNKNOWN,
4,1065.0,-599.9999999999998,1039.2304845413264,10,no_signal,,UNKNOWN,UNKNOWN,
4,1071.0,-599.9999999999998,1039.2304845413264,11,direction,200.12,UNKNOWN,ACTIVE,200.12
4,1077.0,-599.9999999999998,1039.2304845413264,13,no_signal,,UNKNOWN,UNKNOWN,
4,1083.0,-599.9999999999998,1039.2304845413264,14,no_signal,,UNKNOWN,UNKNOWN,
4,1089.0,-599.9999999999998,1039.2304845413264,15,direction,162.61,UNKNOWN,ACTIVE,162.61
4,1095.0,-599.9999999999998,1039.2304845413264,16,no_signal,,UNKNOWN,UNKNOWN,
4,1101.0,-599.9999999999998,1039.2304845413264,17,no_signal,,UNKNOWN,UNKNOWN,
5,1346.0,-1200.0,1.4695761589768238e-13,17,no_signal,,UNKNOWN,UNKNOWN,
5,1352.0,-1200.0,1.4695761589768238e-13,2,no_signal,,UNKNOWN,UNKNOWN,
5,1358.0,-1200.0,1.4695761589768238e-13,3,no_signal,,UNKNOWN,UNKNOWN,
