step,virtual_time,channel,n_no_signal,n_certified_cells,n_certified_cells_raw
1,119.0,2,1,0,0
1,119.0,3,1,0,0
1,119.0,4,1,0,0
1,119.0,5,1,0,0
1,119.0,9,1,0,0
1,119.0,12,1,0,0
1,119.0,13,1,0,0
1,119.0,14,1,0,0
1,119.0,15,1,0,0
1,119.0,16,1,0,0
1,119.0,18,1,0,0
1,119.0,19,1,0,0
1,119.0,20,1,0,0
2,436.0,2,2,0,0
2,436.0,3,2,0,0
2,436.0,4,2,0,0
2,436.0,5,2,0,0
2,436.0,9,1,0,0
2,436.0,12,2,0,0
2,436.0,13,2,0,0
2,436.0,14,2,0,0
2,436.0,15,2,0,0
2,436.0,16,2,0,0
2,436.0,18,2,0,0
2,436.0,19,2,0,0
2,436.0,20,2,0,0
3,747.0000000000001,2,3,0,0
3,747.0000000000001,3,3,0,0
3,747.0000000000001,4,2,0,0
3,747.0000000000001,5,3,0,0
3,747.0000000000001,9,1,0,0
3,747.0000000000001,12,3,0,0
3,747.0000000000001,13,3,0,0
3,747.0000000000001,14,3,0,0
3,747.0000000000001,15,3,0,0
3,747.0000000000001,16,3,0,0
3,747.0000000000001,18,3,0,0
3,747.0000000000001,19,3,0,0
3,747.0000000000001,20,3,0,0
4,1052.0,2,3,0,0
4,1052.0,3,4,0,0
4,1052.0,4,2,0,0
4,1052.0,5,3,0,0
4,1052.0,9,1,0,0
4,1052.0,12,4,0,0
4,1052.0,13,4,0,0
4,1052.0,14,4,0,0
4,1052.0,15,4,0,0
4,1052.0,16,4,0,0
4,1052.0,18,4,0,0
4,1052.0,19,3,0,0
4,1052.0,20,4,0,0
5,1340.0,2,3,0,0
5,1340.0,3,4,0,0
5,1340.0,4,2,0,0
5,1340.0,5,3,0,0
5,1340.0,9,1,0,0
5,1340.0,12,5,0,0
5,1340.0,13,5,0,0
5,1340.0,14,5,0,0
5,1340.0,15,5,0,0
5,1340.0,16,5,0,0
5,1340.0,18,5,0,0
5,1340.0,19,3,0,0
5,1340.0,20,5,0,0
6,1621.0,2,3,0,0
6,1621.0,3,4,0,0
6,1621.0,4,2,0,0
6,1621.0,5,3,0,0
6,1621.0,9,1,0,0
6,1621.0,12,5,0,0
6,1621.0,13,6,0,0
6,1621.0,14,6,0,0
6,1621.0,15,5,0,0
6,1621.0,16,6,0,0
6,1621.0,18,5,0,0
6,1621.0,19,3,0,0
6,1621.0,20,6,0,0
7,1663.0,2,3,0,0
7,1663.0,3,4,0,0
7,1663.0,4,2,0,0
7,1663.0,5,3,0,0
7,1663.0,6,1,0,0
7,1663.0,7,1,0,0
7,1663.0,8,1,0,0
7,1663.0,9,1,0,0
7,1663.0,11,1,0,0
7,1663.0,12,5,0,0
7,1663.0,13,6,0,0
7,1663.0,14,6,0,0
7,1663.0,15,5,0,0
7,1663.0,16,6,0,0
7,1663.0,18,5,0,0
7,1663.0,19,3,0,0
7,1663.0,20,6,0,0
8,1864.1655494815554,2,3,0,0
8,1864.1655494815554,3,4,0,0
8,1864.1655494815554,4,2,0,0
8,1864.1655494815554,5,3,0,0
8,1864.1655494815554,6,2,0,0
8,1864.1655494815554,7,2,0,0
8,1864.1655494815554,8,1,0,0
8,1864.1655494815554,9,1,0,0
8,1864.1655494815554,11,2,0,0
8,1864.1655494815554,12,5,0,0
8,1864.1655494815554,13,6,0,0
8,1864.1655494815554,14,6,0,0
8,1864.1655494815554,15,5,0,0
8,1864.1655494815554,16,6,0,0
8,1864.1655494815554,18,5,0,0
8,1864.1655494815554,19,3,0,0
8,1864.1655494815554,20,6,0,0
9,1986.0819293368306,2,3,0,0
9,1986.0819293368306,3,4,0,0
9,1986.0819293368306,4,2,0,0
9,1986.0819293368306,5,3,0,0
9,1986.0819293368306,6,3,0,0
9,1986.0819293368306,7,3,0,0
9,1986.0819293368306,8,1,0,0
9,1986.0819293368306,9,1,0,0
9,1986.0819293368306,11,3,0,0
9,1986.0819293368306,12,5,0,0
9,1986.0819293368306,13,6,0,0
9,1986.0819293368306,14,6,0,0
9,1986.0819293368306,15,5,0,0
9,1986.0819293368306,16,6,0,0
9,1986.0819293368306,18,5,0,0
9,1986.0819293368306,19,3,0,0
9,1986.0819293368306,20,6,0,0
10,2049.8502499635533,2,3,0,0
10,2049.8502499635533,3,4,0,0
10,2049.8502499635533,4,2,0,0
10,2049.8502499635533,5,3,0,0
10,2049.8502499635533,6,4,0,0
10,2049.8502499635533,7,4,0,0
10,2049.8502499635533,8,1,0,0
10,2049.8502499635533,9,1,0,0
10,2049.8502499635533,11,4,0,0
10,2049.8502499635533,12,5,0,0
10,2049.8502499635533,13,6,0,0
10,2049.8502499635533,14,6,0,0
10,2049.8502499635533,15,5,0,0
10,2049.8502499635533,16,6,0,0
10,2049.8502499635533,18,5,0,0
10,2049.8502499635533,19,3,0,0
10,2049.8502499635533,20,6,0,0
11,2136.508294553686,2,3,0,0
11,2136.508294553686,3,4,0,0
11,2136.508294553686,4,2,0,0
11,2136.508294553686,5,3,0,0
11,2136.508294553686,6,4,0,0
11,2136.508294553686,7,4,0,0
11,2136.508294553686,8,1,0,0
11,2136.508294553686,9,1,0,0
11,2136.508294553686,11,5,0,0
11,2136.508294553686,12,5,0,0
11,2136.508294553686,13,6,0,0
11,2136.508294553686,14,6,0,0
11,2136.508294553686,15,5,0,0
11,2136.508294553686,16,6,0,0
11,2136.508294553686,18,5,0,0
11,2136.508294553686,19,3,0,0
11,2136.508294553686,20,6,0,0
12,2219.988330979063,2,3,0,0
12,2219.988330979063,3,4,0,0
12,2219.988330979063,4,2,0,0
12,2219.988330979063,5,3,0,0
12,2219.988330979063,6,4,0,0
12,2219.988330979063,7,4,0,0
12,2219.988330979063,8,1,0,0
12,2219.988330979063,9,1,0,0
12,2219.988330979063,11,6,0,0
12,2219.988330979063,12,5,0,0
12,2219.988330979063,13,6,0,0
12,2219.988330979063,14,6,0,0
12,2219.988330979063,15,5,0,0
12,2219.988330979063,16,6,0,0
12,2219.988330979063,18,5,0,0
12,2219.988330979063,19,3,0,0
12,2219.988330979063,20,6,0,0
13,2340.701948956566,2,3,0,0
13,2340.701948956566,3,4,0,0
13,2340.701948956566,4,2,0,0
13,2340.701948956566,5,3,0,0
13,2340.701948956566,6,5,0,0
13,2340.701948956566,7,5,0,0
13,2340.701948956566,8,1,0,0
13,2340.701948956566,9,1,0,0
13,2340.701948956566,11,7,0,0
13,2340.701948956566,12,5,0,0
13,2340.701948956566,13,6,0,0
13,2340.701948956566,14,6,0,0
13,2340.701948956566,15,5,0,0
13,2340.701948956566,16,6,0,0
13,2340.701948956566,18,5,0,0
13,2340.701948956566,19,3,0,0
13,2340.701948956566,20,6,0,0
14,2664.4250620323396,2,3,0,0
14,2664.4250620323396,3,4,0,0
14,2664.4250620323396,4,2,0,0
14,2664.4250620323396,5,3,0,0
14,2664.4250620323396,6,5,0,0
14,2664.4250620323396,7,5,0,0
14,2664.4250620323396,8,1,0,0
14,2664.4250620323396,9,1,0,0
14,2664.4250620323396,11,7,0,0
14,2664.4250620323396,12,5,0,0
14,2664.4250620323396,13,6,0,0
14,2664.4250620323396,14,6,0,0
14,2664.4250620323396,15,5,0,0
14,2664.4250620323396,16,6,0,0
14,2664.4250620323396,18,5,0,0
14,2664.4250620323396,19,3,0,0
14,2664.4250620323396,20,6,0,0
15,2672.2359209508963,2,3,0,0
15,2672.2359209508963,3,4,0,0
15,2672.2359209508963,4,2,0,0
15,2672.2359209508963,5,3,0,0
15,2672.2359209508963,6,5,0,0
15,2672.2359209508963,7,5,0,0
15,2672.2359209508963,8,1,0,0
15,2672.2359209508963,9,1,0,0
15,2672.2359209508963,11,7,0,0
15,2672.2359209508963,12,5,0,0
15,2672.2359209508963,13,6,0,0
15,2672.2359209508963,14,6,0,0
15,2672.2359209508963,15,5,0,0
15,2672.2359209508963,16,6,0,0
15,2672.2359209508963,18,5,0,0
15,2672.2359209508963,19,3,0,0
15,2672.2359209508963,20,6,0,0
16,2678.2359209508963,2,3,0,0
16,2678.2359209508963,3,4,0,0
16,2678.2359209508963,4,3,0,0
16,2678.2359209508963,5,3,0,0
16,2678.2359209508963,6,5,0,0
16,2678.2359209508963,7,5,0,0
16,2678.2359209508963,8,1,0,0
16,2678.2359209508963,9,1,0,0
16,2678.2359209508963,11,7,0,0
16,2678.2359209508963,12,5,0,0
16,2678.2359209508963,13,6,0,0
16,2678.2359209508963,14,6,0,0
16,2678.2359209508963,15,5,0,0
16,2678.2359209508963,16,6,0,0
16,2678.2359209508963,18,5,0,0
16,2678.2359209508963,19,3,0,0
16,2678.2359209508963,20,6,0,0
17,2684.2359209508963,2,3,0,0
17,2684.2359209508963,3,4,0,0
17,2684.2359209508963,4,3,0,0
17,2684.2359209508963,5,3,0,0
17,2684.2359209508963,6,5,0,0
17,2684.2359209508963,7,6,0,0
17,2684.2359209508963,8,1,0,0
17,2684.2359209508963,9,1,0,0
17,2684.2359209508963,11,7,0,0
17,2684.2359209508963,12,5,0,0
17,2684.2359209508963,13,6,0,0
17,2684.2359209508963,14,6,0,0
17,2684.2359209508963,15,5,0,0
17,2684.2359209508963,16,6,0,0
17,2684.2359209508963,18,5,0,0
17,2684.2359209508963,19,3,0,0
