step,virtual_time,channel,r_mec
1,119.0,1,750.253973841122
1,119.0,6,750.2259540309765
1,119.0,7,750.2494807545257
1,119.0,8,750.2277753267351
1,119.0,10,750.2259540309765
1,119.0,11,750.228526971102
1,119.0,17,750.2259540309758
2,436.0,1,750.253973841122
2,436.0,6,750.2259540309765
2,436.0,7,750.2494807545257
2,436.0,8,750.2277753267351
2,436.0,9,310.96999224195105
2,436.0,10,750.2259540309765
2,436.0,11,750.228526971102
2,436.0,17,750.2259540309758
3,747.0000000000001,1,750.253973841122
3,747.0000000000001,4,477.95414045429555
3,747.0000000000001,6,750.2259540309765
3,747.0000000000001,7,750.2494807545257
3,747.0000000000001,8,750.2277753267351
3,747.0000000000001,9,310.96999224195105
3,747.0000000000001,10,750.2259540309765
3,747.0000000000001,11,750.228526971102
3,747.0000000000001,17,750.2259540309758
4,1052.0,1,750.253973841122
4,1052.0,2,309.4594492321921
4,1052.0,4,477.95414045429555
4,1052.0,5,305.7321371850323
4,1052.0,6,750.2259540309765
4,1052.0,7,750.2494807545257
4,1052.0,8,750.2277753267351
4,1052.0,9,310.96999224195105
4,1052.0,10,750.2259540309765
4,1052.0,11,750.228526971102
4,1052.0,17,750.2259540309758
4,1052.0,19,452.14763941417715
5,1340.0,1,750.253973841122
5,1340.0,2,309.4594492321921
5,1340.0,3,350.3507251857692
5,1340.0,4,477.95414045429555
5,1340.0,5,305.7321371850323
5,1340.0,6,750.2259540309765
5,1340.0,7,750.2494807545257
5,1340.0,8,750.2277753267351
5,1340.0,9,310.96999224195105
5,1340.0,10,750.2259540309765
5,1340.0,11,750.228526971102
5,1340.0,17,750.2259540309758
5,1340.0,19,452.14763941417715
6,1621.0,1,750.253973841122
6,1621.0,2,309.4594492321921
6,1621.0,3,350.3507251857692
6,1621.0,4,477.95414045429555
6,1621.0,5,305.7321371850323
6,1621.0,6,750.2259540309765
6,1621.0,7,750.2494807545257
6,1621.0,8,750.2277753267351
6,1621.0,9,310.96999224195105
6,1621.0,10,750.2259540309765
6,1621.0,11,750.228526971102
6,1621.0,12,436.1181704154887
6,1621.0,15,584.7554021186916
6,1621.0,17,750.2259540309758
6,1621.0,18,364.7796706388332
6,1621.0,19,452.14763941417715
7,1663.0,1,21.380911426156402
7,1663.0,2,309.4594492321921
7,1663.0,3,350.3507251857692
7,1663.0,4,477.95414045429555
7,1663.0,5,305.7321371850323
7,1663.0,6,750.2259540309765
7,1663.0,7,750.2494807545257
7,1663.0,8,750.2277753267351
7,1663.0,9,310.96999224195105
7,1663.0,10,20.94800873400202
7,1663.0,11,750.228526971102
7,1663.0,12,436.1181704154887
7,1663.0,15,584.7554021186916
7,1663.0,17,24.894777593405546
7,1663.0,18,364.7796706388332
7,1663.0,19,452.14763941417715
8,1864.1655494815554,2,309.4594492321921
8,1864.1655494815554,3,350.3507251857692
8,1864.1655494815554,4,477.95414045429555
8,1864.1655494815554,5,305.7321371850323
8,1864.1655494815554,6,750.2259540309765
8,1864.1655494815554,7,750.2494807545257
8,1864.1655494815554,8,50.53154844090646
8,1864.1655494815554,9,310.96999224195105
8,1864.1655494815554,10,10.72343454961302
8,1864.1655494815554,11,750.228526971102
8,1864.1655494815554,12,50.335918813544225
8,1864.1655494815554,15,20.119194492311937
8,1864.1655494815554,17,10.468061423663913
8,1864.1655494815554,18,27.78644475005991
8,1864.1655494815554,19,452.14763941417715
9,1986.0819293368306,2,309.4594492321921
9,1986.0819293368306,3,350.3507251857692
9,1986.0819293368306,4,477.95414045429555
9,1986.0819293368306,5,305.7321371850323
9,1986.0819293368306,6,750.2259540309765
9,1986.0819293368306,7,750.2494807545257
9,1986.0819293368306,8,37.8923370632818
9,1986.0819293368306,9,310.96999224195105
9,1986.0819293368306,10,10.72343454961302
9,1986.0819293368306,11,750.228526971102
9,1986.0819293368306,12,44.547613533796074
9,1986.0819293368306,15,15.940653509278778
9,1986.0819293368306,18,14.570499692475606
9,1986.0819293368306,19,452.14763941417715
10,2049.8502499635533,2,309.4594492321921
