virtual_time,x,y,action,channel,result
0.0,0.0,0.0,enter,,
5.0,0.0,0.0,measure,1,direction
11.0,0.0,0.0,measure,2,no_signal
17.0,0.0,0.0,measure,3,no_signal
23.0,0.0,0.0,measure,4,no_signal
29.0,0.0,0.0,measure,5,no_signal
35.0,0.0,0.0,measure,6,direction
41.0,0.0,0.0,measure,7,direction
47.0,0.0,0.0,measure,8,direction
53.0,0.0,0.0,measure,9,no_signal
59.0,0.0,0.0,measure,10,direction
65.0,0.0,0.0,measure,11,direction
71.0,0.0,0.0,measure,12,no_signal
77.0,0.0,0.0,measure,13,no_signal
83.0,0.0,0.0,measure,14,no_signal
89.0,0.0,0.0,measure,15,no_signal
95.0,0.0,0.0,measure,16,no_signal
101.0,0.0,0.0,measure,17,direction
107.0,0.0,0.0,measure,18,no_signal
113.0,0.0,0.0,measure,19,no_signal
119.0,0.0,0.0,measure,20,no_signal
364.0,-600.0000000000006,-1039.2304845413262,measure,20,no_signal
370.0,-600.0000000000006,-1039.2304845413262,measure,2,no_signal
376.0,-600.0000000000006,-1039.2304845413262,measure,3,no_signal
382.0,-600.0000000000006,-1039.2304845413262,measure,4,no_signal
388.0,-600.0000000000006,-1039.2304845413262,measure,5,no_signal
394.0,-600.0000000000006,-1039.2304845413262,measure,9,direction
400.0,-600.0000000000006,-1039.2304845413262,measure,12,no_signal
406.0,-600.0000000000006,-1039.2304845413262,measure,13,no_signal
412.0,-600.0000000000006,-1039.2304845413262,measure,14,no_signal
418.0,-600.0000000000006,-1039.2304845413262,measure,15,no_signal
424.0,-600.0000000000006,-1039.2304845413262,measure,16,no_signal
430.0,-600.0000000000006,-1039.2304845413262,measure,18,no_signal
436.0,-600.0000000000006,-1039.2304845413262,measure,19,no_signal
681.0000000000001,600.0000000000001,-1039.2304845413264,measure,19,no_signal
687.0000000000001,600.0000000000001,-1039.2304845413264,measure,2,no_signal
693.0000000000001,600.0000000000001,-1039.2304845413264,measure,3,no_signal
699.0000000000001,600.0000000000001,-1039.2304845413264,measure,4,direction
705.0000000000001,600.0000000000001,-1039.2304845413264,measure,5,no_signal
711.0000000000001,600.0000000000001,-1039.2304845413264,measure,12,no_signal
717.0000000000001,600.0000000000001,-1039.2304845413264,measure,13,no_signal
