step,virtual_time_before,virtual_time_after,action_type,target_x,target_y,channel,policy_mode,reason_code,movement_distance,movement_time,switch_time,action_time
1,0.0,0.0,enter,,,,lifecycle,enter_exit,0.0,0.0,0.0,0.0
1,0.0,5.0,measure,0.0,0.0,1,certificate,coverage,0.0,0.0,0.0,5.0
1,5.0,11.0,measure,0.0,0.0,2,certificate,coverage,0.0,0.0,1.0,5.0
1,11.0,17.0,measure,0.0,0.0,3,certificate,coverage,0.0,0.0,1.0,5.0
1,17.0,23.0,measure,0.0,0.0,4,certificate,coverage,0.0,0.0,1.0,5.0
1,23.0,29.0,measure,0.0,0.0,5,certificate,coverage,0.0,0.0,1.0,5.0
1,29.0,35.0,measure,0.0,0.0,6,certificate,coverage,0.0,0.0,1.0,5.0
1,35.0,41.0,measure,0.0,0.0,7,certificate,coverage,0.0,0.0,1.0,5.0
1,41.0,47.0,measure,0.0,0.0,8,certificate,coverage,0.0,0.0,1.0,5.0
1,47.0,53.0,measure,0.0,0.0,9,certificate,coverage,0.0,0.0,1.0,5.0
1,53.0,59.0,measure,0.0,0.0,10,certificate,coverage,0.0,0.0,1.0,5.0
1,59.0,65.0,measure,0.0,0.0,11,certificate,coverage,0.0,0.0,1.0,5.0
1,65.0,71.0,measure,0.0,0.0,12,certificate,coverage,0.0,0.0,1.0,5.0
1,71.0,77.0,measure,0.0,0.0,13,certificate,coverage,0.0,0.0,1.0,5.0
1,77.0,83.0,measure,0.0,0.0,14,certificate,coverage,0.0,0.0,1.0,5.0
1,83.0,89.0,measure,0.0,0.0,15,certificate,coverage,0.0,0.0,1.0,5.0
1,89.0,95.0,measure,0.0,0.0,16,certificate,coverage,0.0,0.0,1.0,5.0
1,95.0,101.0,measure,0.0,0.0,17,certificate,coverage,0.0,0.0,1.0,5.0
1,101.0,107.0,measure,0.0,0.0,18,certificate,coverage,0.0,0.0,1.0,5.0
1,107.0,113.0,measure,0.0,0.0,19,certificate,coverage,0.0,0.0,1.0,5.0
1,113.0,119.0,measure,0.0,0.0,20,certificate,coverage,0.0,0.0,1.0,5.0
2,119.0,125.0,measure,0.0,0.0,1,active_localization,coverage_active,0.0,0.0,1.0,5.0
3,125.0,131.0,measure,0.0,0.0,6,active_localization,coverage_active,0.0,0.0,1.0,5.0
4,131.0,137.0,measure,0.0,0.0,7,active_localization,coverage_active,0.0,0.0,1.0,5.0
5,137.0,143.0,measure,0.0,0.0,8,active_localization,coverage_active,0.0,0.0,1.0,5.0
6,143.0,149.0,measure,0.0,0.0,11,active_localization,coverage_active,0.0,0.0,1.0,5.0
7,149.0,155.0,measure,0.0,0.0,12,active_localization,coverage_active,0.0,0.0,1.0,5.0
8,155.0,161.0,measure,0.0,0.0,17,active_localization,coverage_active,0.0,0.0,1.0,5.0
9,161.0,357.0,measure,917.6295349746149,245.8780928473947,2,certificate,coverage,950.0,190.0,1.0,5.0
9,357.0,363.0,measure,917.6295349746149,245.8780928473947,3,certificate,coverage,0.0,0.0,1.0,5.0
9,363.0,369.0,measure,917.6295349746149,245.8780928473947,4,certificate,coverage,0.0,0.0,1.0,5.0
9,369.0,375.0,measure,917.6295349746149,245.8780928473947,5,certificate,coverage,0.0,0.0,1.0,5.0
9,375.0,381.0,measure,917.6295349746149,245.8780928473947,9,certificate,coverage,0.0,0.0,1.0,5.0
9,381.0,387.0,measure,917.6295349746149,245.8780928473947,10,certificate,coverage,0.0,0.0,1.0,5.0
9,387.0,393.0,measure,917.6295349746149,245.8780928473947,13,certificate,coverage,0.0,0.0,1.0,5.0
9,393.0,399.0,measure,917.6295349746149,245.8780928473947,14,certificate,coverage,0.0,0.0,1.0,5.0
9,399.0,405.0,measure,917.6295349746149,245.8780928473947,15,certificate,coverage,0.0,0.0,1.0,5.0
9,405.0,411.0,measure,917.6295349746149,245.8780928473947,16,certificate,coverage,0.0,0.0,1.0,5.0
