step,virtual_time,channel,n_no_signal,n_certified_cells,n_certified_cells_raw
1,119.0,2,1,0,0
1,119.0,3,1,0,0
1,119.0,4,1,0,0
1,119.0,5,1,0,0
1,119.0,9,1,0,0
1,119.0,10,1,0,0
1,119.0,13,1,0,0
1,119.0,14,1,0,0
1,119.0,15,1,0,0
1,119.0,16,1,0,0
1,119.0,18,1,0,0
1,119.0,19,1,0,0
1,119.0,20,1,0,0
2,125.0,2,1,0,0
2,125.0,3,1,0,0
2,125.0,4,1,0,0
2,125.0,5,1,0,0
2,125.0,9,1,0,0
2,125.0,10,1,0,0
2,125.0,13,1,0,0
2,125.0,14,1,0,0
2,125.0,15,1,0,0
2,125.0,16,1,0,0
2,125.0,18,1,0,0
2,125.0,19,1,0,0
2,125.0,20,1,0,0
3,131.0,2,1,0,0
3,131.0,3,1,0,0
3,131.0,4,1,0,0
3,131.0,5,1,0,0
3,131.0,9,1,0,0
3,131.0,10,1,0,0
3,131.0,13,1,0,0
3,131.0,14,1,0,0
3,131.0,15,1,0,0
3,131.0,16,1,0,0
3,131.0,18,1,0,0
3,131.0,19,1,0,0
3,131.0,20,1,0,0
4,137.0,2,1,0,0
4,137.0,3,1,0,0
4,137.0,4,1,0,0
4,137.0,5,1,0,0
4,137.0,9,1,0,0
4,137.0,10,1,0,0
4,137.0,13,1,0,0
4,137.0,14,1,0,0
4,137.0,15,1,0,0
4,137.0,16,1,0,0
4,137.0,18,1,0,0
4,137.0,19,1,0,0
4,137.0,20,1,0,0
5,143.0,2,1,0,0
5,143.0,3,1,0,0
5,143.0,4,1,0,0
5,143.0,5,1,0,0
5,143.0,9,1,0,0
5,143.0,10,1,0,0
5,143.0,13,1,0,0
5,143.0,14,1,0,0
5,143.0,15,1,0,0
5,143.0,16,1,0,0
5,143.0,18,1,0,0
5,143.0,19,1,0,0
5,143.0,20,1,0,0
6,149.0,2,1,0,0
6,149.0,3,1,0,0
6,149.0,4,1,0,0
6,149.0,5,1,0,0
6,149.0,9,1,0,0
6,149.0,10,1,0,0
6,149.0,13,1,0,0
6,149.0,14,1,0,0
6,149.0,15,1,0,0
6,149.0,16,1,0,0
6,149.0,18,1,0,0
6,149.0,19,1,0,0
6,149.0,20,1,0,0
7,155.0,2,1,0,0
7,155.0,3,1,0,0
7,155.0,4,1,0,0
7,155.0,5,1,0,0
7,155.0,9,1,0,0
7,155.0,10,1,0,0
7,155.0,13,1,0,0
7,155.0,14,1,0,0
7,155.0,15,1,0,0
7,155.0,16,1,0,0
7,155.0,18,1,0,0
7,155.0,19,1,0,0
7,155.0,20,1,0,0
8,161.0,2,1,0,0
8,161.0,3,1,0,0
8,161.0,4,1,0,0
8,161.0,5,1,0,0
8,161.0,9,1,0,0
8,161.0,10,1,0,0
8,161.0,13,1,0,0
8,161.0,14,1,0,0
8,161.0,15,1,0,0
8,161.0,16,1,0,0
8,161.0,18,1,0,0
8,161.0,19,1,0,0
8,161.0,20,1,0,0
9,429.0,2,2,0,0
9,429.0,3,1,0,0
9,429.0,4,1,0,0
9,429.0,5,2,0,0
9,429.0,9,2,0,0
9,429.0,10,2,0,0
9,429.0,13,2,0,0
9,429.0,14,2,0,0
9,429.0,15,2,0,0
9,429.0,16,2,0,0
9,429.0,18,2,0,0
9,429.0,19,2,0,0
9,429.0,20,2,0,0
10,435.0,1,1,0,0
10,435.0,2,2,0,0
10,435.0,3,1,0,0
10,435.0,4,1,0,0
10,435.0,5,2,0,0
10,435.0,9,2,0,0
10,435.0,10,2,0,0
10,435.0,13,2,0,0
10,435.0,14,2,0,0
10,435.0,15,2,0,0
10,435.0,16,2,0,0
10,435.0,18,2,0,0
10,435.0,19,2,0,0
10,435.0,20,2,0,0
11,441.0,1,1,0,0
11,441.0,2,2,0,0
11,441.0,3,1,0,0
11,441.0,4,1,0,0
11,441.0,5,2,0,0
11,441.0,9,2,0,0
11,441.0,10,2,0,0
11,441.0,13,2,0,0
11,441.0,14,2,0,0
11,441.0,15,2,0,0
11,441.0,16,2,0,0
11,441.0,18,2,0,0
11,441.0,19,2,0,0
11,441.0,20,2,0,0
12,447.0,1,1,0,0
12,447.0,2,2,0,0
12,447.0,3,1,0,0
12,447.0,4,1,0,0
12,447.0,5,2,0,0
12,447.0,9,2,0,0
12,447.0,10,2,0,0
12,447.0,13,2,0,0
12,447.0,14,2,0,0
12,447.0,15,2,0,0
12,447.0,16,2,0,0
12,447.0,18,2,0,0
12,447.0,19,2,0,0
12,447.0,20,2,0,0
13,453.0,1,1,0,0
13,453.0,2,2,0,0
13,453.0,3,1,0,0
13,453.0,4,1,0,0
13,453.0,5,2,0,0
13,453.0,9,2,0,0
13,453.0,10,2,0,0
13,453.0,13,2,0,0
13,453.0,14,2,0,0
13,453.0,15,2,0,0
13,453.0,16,2,0,0
13,453.0,18,2,0,0
13,453.0,19,2,0,0
13,453.0,20,2,0,0
14,459.0,1,1,0,0
14,459.0,2,2,0,0
14,459.0,3,1,0,0
14,459.0,4,1,0,0
14,459.0,5,2,0,0
14,459.0,9,2,0,0
14,459.0,10,2,0,0
14,459.0,13,2,0,0
14,459.0,14,2,0,0
14,459.0,15,2,0,0
14,459.0,16,2,0,0
14,459.0,18,2,0,0
14,459.0,19,2,0,0
14,459.0,20,2,0,0
15,592.4663819166556,1,1,0,0
15,592.4663819166556,2,3,0,0
15,592.4663819166556,3,1,0,0
15,592.4663819166556,4,1,0,0
15,592.4663819166556,5,3,0,0
15,592.4663819166556,9,3,0,0
15,592.4663819166556,10,3,0,0
15,592.4663819166556,13,3,0,0
15,592.4663819166556,14,3,0,0
15,592.4663819166556,15,3,0,0
15,592.4663819166556,16,3,0,0
15,592.4663819166556,18,3,0,0
15,592.4663819166556,19,3,0,0
15,592.4663819166556,20,3,0,0
16,660.9327638333111,1,1,0,0
16,660.9327638333111,2,3,0,0
16,660.9327638333111,3,1,0,0
16,660.9327638333111,4,1,0,0
16,660.9327638333111,5,3,0,0
16,660.9327638333111,8,1,0,0
16,660.9327638333111,9,3,0,0
16,660.9327638333111,10,3,0,0
16,660.9327638333111,13,3,0,0
16,660.9327638333111,14,3,0,0
16,660.9327638333111,15,3,0,0
16,660.9327638333111,16,3,0,0
16,660.9327638333111,18,3,0,0
16,660.9327638333111,19,3,0,0
16,660.9327638333111,20,3,0,0
17,666.9327638333111,1,1,0,0
17,666.9327638333111,2,3,0,0
17,666.9327638333111,3,1,0,0
17,666.9327638333111,4,1,0,0
17,666.9327638333111,5,3,0,0
17,666.9327638333111,8,1,0,0
17,666.9327638333111,9,3,0,0
17,666.9327638333111,10,3,0,0
17,666.9327638333111,13,3,0,0
17,666.9327638333111,14,3,0,0
17,666.9327638333111,15,3,0,0
17,666.9327638333111,16,3,0,0
17,666.9327638333111,18,3,0,0
17,666.9327638333111,19,3,0,0
17,666.9327638333111,20,3,0,0
18,672.9327638333111,1,1,0,0
18,672.9327638333111,2,3,0,0
18,672.9327638333111,3,1,0,0
18,672.9327638333111,4,1,0,0
18,672.9327638333111,5,3,0,0
18,672.9327638333111,8,1,0,0
18,672.9327638333111,9,3,0,0
18,672.9327638333111,10,3,0,0
18,672.9327638333111,12,1,0,0
18,672.9327638333111,13,3,0,0
18,672.9327638333111,14,3,0,0
18,672.9327638333111,15,3,0,0
18,672.9327638333111,16,3,0,0
18,672.9327638333111,18,3,0,0
18,672.9327638333111,19,3,0,0
18,672.9327638333111,20,3,0,0
19,678.9327638333111,1,1,0,0
19,678.9327638333111,2,3,0,0
19,678.9327638333111,3,1,0,0
19,678.9327638333111,4,1,0,0
19,678.9327638333111,5,3,0,0
19,678.9327638333111,8,1,0,0
19,678.9327638333111,9,3,0,0
19,678.9327638333111,10,3,0,0
19,678.9327638333111,12,1,0,0
19,678.9327638333111,13,3,0,0
19,678.9327638333111,14,3,0,0
19,678.9327638333111,15,3,0,0
19,678.9327638333111,16,3,0,0
19,678.9327638333111,17,1,0,0
19,678.9327638333111,18,3,0,0
19,678.9327638333111,19,3,0,0
19,678.9327638333111,20,3,0,0
20,843.284000972269,1,1,0,0
20,843.284000972269,2,3,0,0
20,843.284000972269,3,1,0,0
20,843.284000972269,4,1,0,0
20,843.284000972269,5,4,0,0
20,843.284000972269,8,1,0,0
20,843.284000972269,9,4,0,0
20,843.284000972269,10,4,0,0
20,843.284000972269,12,1,0,0
20,843.284000972269,13,4,0,0
20,843.284000972269,14,4,0,0
20,843.284000972269,15,4,0,0
20,843.284000972269,16,4,0,0
20,843.284000972269,17,1,0,0
20,843.284000972269,18,4,0,0
20,843.284000972269,19,4,0,0
20,843.284000972269,20,4,0,0
21,1000.635238111227,1,1,0,0
21,1000.635238111227,2,3,0,0
21,1000.635238111227,3,1,0,0
21,1000.635238111227,4,1,0,0
21,1000.635238111227,5,5,0,0
21,1000.635238111227,8,1,0,0
21,1000.635238111227,9,5,0,0
21,1000.635238111227,10,5,0,0
21,1000.635238111227,12,1,0,0
21,1000.635238111227,13,5,0,0
21,1000.635238111227,14,5,0,0
21,1000.635238111227,15,5,0,0
21,1000.635238111227,16,5,0,0
21,1000.635238111227,17,1,0,0
21,1000.635238111227,18,5,0,0
21,1000.635238111227,19,5,0,0
21,1000.635238111227,20,5,0,0
