step,virtual_time,channel,r_mec
1,119.0,1,750.253973841122
1,119.0,6,750.2259540309765
1,119.0,7,750.2494807545257
1,119.0,8,750.2277753267351
1,119.0,11,750.228526971102
1,119.0,12,750.2259540309764
1,119.0,17,750.2259540309758
2,125.0,1,750.253973841122
2,125.0,6,750.2259540309765
2,125.0,7,750.2494807545257
2,125.0,8,750.2277753267351
2,125.0,11,750.228526971102
2,125.0,12,750.2259540309764
2,125.0,17,750.2259540309758
3,131.0,1,750.253973841122
3,131.0,6,750.2259540309765
3,131.0,7,750.2494807545257
3,131.0,8,750.2277753267351
3,131.0,11,750.228526971102
3,131.0,12,750.2259540309764
3,131.0,17,750.2259540309758
4,137.0,1,750.253973841122
4,137.0,6,750.2259540309765
4,137.0,7,750.2494807545257
4,137.0,8,750.2277753267351
4,137.0,11,750.228526971102
4,137.0,12,750.2259540309764
4,137.0,17,750.2259540309758
5,143.0,1,750.253973841122
5,143.0,6,750.2259540309765
5,143.0,7,750.2494807545257
5,143.0,8,750.2277753267351
5,143.0,11,750.228526971102
5,143.0,12,750.2259540309764
5,143.0,17,750.2259540309758
6,149.0,1,750.253973841122
6,149.0,6,750.2259540309765
6,149.0,7,750.2494807545257
6,149.0,8,750.2277753267351
6,149.0,11,750.228526971102
6,149.0,12,750.2259540309764
6,149.0,17,750.2259540309758
7,155.0,1,750.253973841122
7,155.0,6,750.2259540309765
7,155.0,7,750.2494807545257
7,155.0,8,750.2277753267351
7,155.0,11,750.228526971102
7,155.0,12,750.2259540309764
7,155.0,17,750.2259540309758
8,161.0,1,750.253973841122
8,161.0,6,750.2259540309765
8,161.0,7,750.2494807545257
8,161.0,8,750.2277753267351
8,161.0,11,750.228526971102
8,161.0,12,750.2259540309764
8,161.0,17,750.2259540309758
9,429.0,1,750.253973841122
9,429.0,3,731.006460160609
9,429.0,4,750.2260056291946
9,429.0,6,750.2259540309765
9,429.0,7,750.2494807545257
9,429.0,8,750.2277753267351
9,429.0,11,750.228526971102
9,429.0,12,750.2259540309764
9,429.0,17,750.2259540309758
10,435.0,1,750.253973841122
10,435.0,3,731.006460160609
10,435.0,4,750.2260056291946
10,435.0,6,750.2259540309765
10,435.0,7,750.2494807545257
10,435.0,8,750.2277753267351
10,435.0,11,750.228526971102
10,435.0,12,750.2259540309764
10,435.0,17,750.2259540309758
11,441.0,1,750.253973841122
11,441.0,3,731.006460160609
11,441.0,4,750.2260056291946
11,441.0,6,750.2259540309765
11,441.0,7,750.2494807545257
11,441.0,8,750.2277753267351
11,441.0,11,750.228526971102
11,441.0,12,750.2259540309764
11,441.0,17,750.2259540309758
12,447.0,1,750.253973841122
12,447.0,3,731.006460160609
12,447.0,4,750.2260056291946
12,447.0,6,750.2259540309765
12,447.0,7,750.2494807545257
12,447.0,8,750.2277753267351
12,447.0,11,750.228526971102
12,447.0,12,750.2259540309764
12,447.0,17,750.2259540309758
13,453.0,1,750.253973841122
13,453.0,3,731.006460160609
13,453.0,4,750.2260056291946
13,453.0,6,27.756527760432547
13,453.0,7,750.2494807545257
13,453.0,8,750.2277753267351
13,453.0,11,750.228526971102
13,453.0,12,750.2259540309764
13,453.0,17,750.2259540309758
14,459.0,1,750.253973841122
14,459.0,3,731.006460160609
14,459.0,4,750.2260056291946
14,459.0,6,27.756527760432547
14,459.0,7,17.912176582204385
14,459.0,8,750.2277753267351
14,459.0,11,750.228526971102
14,459.0,12,750.2259540309764
14,459.0,17,750.2259540309758
15,592.4663819166556,1,750.253973841122
15,592.4663819166556,3,731.006460160609
15,592.4663819166556,4,750.2260056291946
15,592.4663819166556,6,27.756527760432547
15,592.4663819166556,8,750.2277753267351
15,592.4663819166556,11,750.228526971102
15,592.4663819166556,12,750.2259540309764
15,592.4663819166556,17,750.2259540309758
16,660.9327638333111,1,750.253973841122
16,660.9327638333111,3,731.006460160609
16,660.9327638333111,4,750.2260056291946
16,660.9327638333111,6,27.756527760432547
16,660.9327638333111,8,750.2277753267351
16,660.9327638333111,11,750.228526971102
