step,virtual_time,x,y,channel,result,bearing_deg,status_before,status_after,svd_deg
1,5.0,0.0,0.0,1,direction,155.76,UNKNOWN,ACTIVE,155.76
1,11.0,0.0,0.0,2,no_signal,,UNKNOWN,UNKNOWN,
1,17.0,0.0,0.0,3,no_signal,,UNKNOWN,UNKNOWN,
1,23.0,0.0,0.0,4,no_signal,,UNKNOWN,UNKNOWN,
1,29.0,0.0,0.0,5,no_signal,,UNKNOWN,UNKNOWN,
1,35.0,0.0,0.0,6,direction,8.77,UNKNOWN,ACTIVE,8.77
1,41.0,0.0,0.0,7,direction,32.89,UNKNOWN,ACTIVE,32.89
1,47.0,0.0,0.0,8,direction,193.53,UNKNOWN,ACTIVE,193.53
1,53.0,0.0,0.0,9,no_signal,,UNKNOWN,UNKNOWN,
1,59.0,0.0,0.0,10,no_signal,,UNKNOWN,UNKNOWN,
1,65.0,0.0,0.0,11,direction,40.79,UNKNOWN,ACTIVE,40.79
1,71.0,0.0,0.0,12,direction,118.27,UNKNOWN,ACTIVE,118.27
1,77.0,0.0,0.0,13,no_signal,,UNKNOWN,UNKNOWN,
1,83.0,0.0,0.0,14,no_signal,,UNKNOWN,UNKNOWN,
1,89.0,0.0,0.0,15,no_signal,,UNKNOWN,UNKNOWN,
1,95.0,0.0,0.0,16,no_signal,,UNKNOWN,UNKNOWN,
1,101.0,0.0,0.0,17,direction,146.54,UNKNOWN,ACTIVE,146.54
1,107.0,0.0,0.0,18,no_signal,,UNKNOWN,UNKNOWN,
1,113.0,0.0,0.0,19,no_signal,,UNKNOWN,UNKNOWN,
1,119.0,0.0,0.0,20,no_signal,,UNKNOWN,UNKNOWN,
2,125.0,0.0,0.0,1,direction,155.76,ACTIVE,ACTIVE,155.76
3,131.0,0.0,0.0,6,direction,8.77,ACTIVE,ACTIVE,8.77
4,137.0,0.0,0.0,7,direction,32.89,ACTIVE,ACTIVE,32.89
5,143.0,0.0,0.0,8,direction,193.53,ACTIVE,ACTIVE,193.53
6,149.0,0.0,0.0,11,direction,40.79,ACTIVE,ACTIVE,40.79
7,155.0,0.0,0.0,12,direction,118.27,ACTIVE,ACTIVE,118.27
8,161.0,0.0,0.0,17,direction,146.54,ACTIVE,ACTIVE,146.54
9,357.0,917.6295349746149,245.8780928473947,2,no_signal,,UNKNOWN,UNKNOWN,
9,363.0,917.6295349746149,245.8780928473947,3,direction,99.87,UNKNOWN,ACTIVE,99.87
9,369.0,917.6295349746149,245.8780928473947,4,direction,278.01,UNKNOWN,ACTIVE,278.01
9,375.0,917.6295349746149,245.8780928473947,5,no_signal,,UNKNOWN,UNKNOWN,
9,381.0,917.6295349746149,245.8780928473947,9,no_signal,,UNKNOWN,UNKNOWN,
9,387.0,917.6295349746149,245.8780928473947,10,no_signal,,UNKNOWN,UNKNOWN,
9,393.0,917.6295349746149,245.8780928473947,13,no_signal,,UNKNOWN,UNKNOWN,
9,399.0,917.6295349746149,245.8780928473947,14,no_signal,,UNKNOWN,UNKNOWN,
9,405.0,917.6295349746149,245.8780928473947,15,no_signal,,UNKNOWN,UNKNOWN,
9,411.0,917.6295349746149,245.8780928473947,16,no_signal,,UNKNOWN,UNKNOWN,
9,417.0,917.6295349746149,245.8780928473947,18,no_signal,,UNKNOWN,UNKNOWN,
9,423.0,917.6295349746149,245.8780928473947,19,no_signal,,UNKNOWN,UNKNOWN,
9,429.0,917.6295349746149,245.8780928473947,20,no_signal,,UNKNOWN,UNKNOWN,
10,435.0,917.6295349746149,245.8780928473947,1,no_signal,,ACTIVE,ACTIVE,
11,441.0,917.6295349746149,245.8780928473947,3,direction,99.87,ACTIVE,ACTIVE,99.87
12,447.0,917.6295349746149,245.8780928473947,4,direction,278.01,ACTIVE,ACTIVE,278.01
13,453.0,917.6295349746149,245.8780928473947,6,direction,322.54,ACTIVE,ACTIVE,322.54
14,459.0,917.6295349746149,245.8780928473947,7,direction,145.15,ACTIVE,READY,145.15
15,532.4663819166556,658.2382921538003,419.85339250746165,2,no_signal,,UNKNOWN,UNKNOWN,
15,538.4663819166556,658.2382921538003,419.85339250746165,5,no_signal,,UNKNOWN,UNKNOWN,
15,544.4663819166556,658.2382921538003,419.85339250746165,9,no_signal,,UNKNOWN,UNKNOWN,
15,550.4663819166556,658.2382921538003,419.85339250746165,10,no_signal,,UNKNOWN,UNKNOWN,
15,556.4663819166556,658.2382921538003,419.85339250746165,13,no_signal,,UNKNOWN,UNKNOWN,
15,562.4663819166556,658.2382921538003,419.85339250746165,14,no_signal,,UNKNOWN,UNKNOWN,
15,568.4663819166556,658.2382921538003,419.85339250746165,15,no_signal,,UNKNOWN,UNKNOWN,
15,574.4663819166556,658.2382921538003,419.85339250746165,16,no_signal,,UNKNOWN,UNKNOWN,
15,580.4663819166556,658.2382921538003,419.85339250746165,18,no_signal,,UNKNOWN,UNKNOWN,
15,586.4663819166556,658.2382921538003,419.85339250746165,19,no_signal,,UNKNOWN,UNKNOWN,
15,592.4663819166556,658.2382921538003,419.85339250746165,20,no_signal,,UNKNOWN,UNKNOWN,
16,660.9327638333111,917.6295349746149,245.8780928473947,8,no_signal,,ACTIVE,ACTIVE,
17,666.9327638333111,917.6295349746149,245.8780928473947,11,direction,112.0,ACTIVE,ACTIVE,112.0
18,672.9327638333111,917.6295349746149,245.8780928473947,12,no_signal,,ACTIVE,ACTIVE,
19,678.9327638333111,917.6295349746149,245.8780928473947,17,no_signal,,ACTIVE,ACTIVE,
20,783.284000972269,917.6295349746149,-245.87809284739464,2,direction,29.29,UNKNOWN,ACTIVE,29.29
20,789.284000972269,917.6295349746149,-245.87809284739464,5,no_signal,,UNKNOWN,UNKNOWN,
20,795.284000972269,917.6295349746149,-245.87809284739464,9,no_signal,,UNKNOWN,UNKNOWN,
20,801.284000972269,917.6295349746149,-245.87809284739464,10,no_signal,,UNKNOWN,UNKNOWN,
20,807.284000972269,917.6295349746149,-245.87809284739464,13,no_signal,,UNKNOWN,UNKNOWN,
20,813.284000972269,917.6295349746149,-245.87809284739464,14,no_signal,,UNKNOWN,UNKNOWN,
20,819.284000972269,917.6295349746149,-245.87809284739464,15,no_signal,,UNKNOWN,UNKNOWN,
20,825.284000972269,917.6295349746149,-245.87809284739464,16,no_signal,,UNKNOWN,UNKNOWN,
20,831.284000972269,917.6295349746149,-245.87809284739464,18,no_signal,,UNKNOWN,UNKNOWN,
20,837.284000972269,917.6295349746149,-245.87809284739464,19,no_signal,,UNKNOWN,UNKNOWN,
20,843.284000972269,917.6295349746149,-245.87809284739464,20,no_signal,,UNKNOWN,UNKNOWN,
21,946.635238111227,671.75144212722,-671.7514421272203,20,no_signal,,UNKNOWN,UNKNOWN,
21,952.635238111227,671.75144212722,-671.7514421272203,5,no_signal,,UNKNOWN,UNKNOWN,
